t,state,grounded,bean_x,bean_y,bean_z,bean_vx,bean_vy,bean_vz,bean_pitch,bean_roll,pelvis_x,pelvis_y,pelvis_z,pelvis_speed,foot_l_speed,foot_r_speed,hand_r_z,head_z,bean_yaw,pelvis_yaw,pelvis_pitch
0.0075,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.41,-0.01,98.62,2.00,2.04,2.05,98.34,99.12,0.00,2.46,-0.20
0.0183,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.39,-0.01,98.60,2.22,2.36,2.61,98.33,99.11,0.00,2.44,-0.19
0.0278,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.38,-0.01,98.59,1.75,1.88,2.15,98.32,99.10,0.00,2.42,-0.19
0.0357,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.36,-0.01,98.61,1.89,1.93,1.97,98.34,99.12,0.00,2.40,-0.19
0.0442,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.35,-0.01,98.62,1.61,1.64,1.73,98.35,99.13,0.00,2.37,-0.19
0.0527,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.34,-0.01,98.63,1.42,1.42,1.55,98.35,99.13,0.00,2.35,-0.19
0.0608,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.32,-0.01,98.63,1.37,1.36,1.49,98.35,99.13,0.00,2.32,-0.18
0.0702,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.31,-0.01,98.62,1.90,1.97,2.20,98.34,99.12,0.00,2.29,-0.18
0.0779,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.30,-0.01,98.62,1.31,1.22,1.33,98.35,99.13,0.00,2.27,-0.18
0.0873,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.28,-0.01,98.62,1.63,1.60,1.86,98.34,99.12,0.00,2.23,-0.18
0.0951,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.27,-0.01,98.62,1.31,1.16,1.20,98.35,99.13,0.00,2.20,-0.18
0.1027,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.26,-0.01,98.64,1.42,1.38,1.36,98.36,99.14,0.00,2.17,-0.18
0.1105,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.25,-0.01,98.64,1.18,1.03,1.09,98.36,99.14,0.00,2.14,-0.18
0.1187,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.24,-0.01,98.64,1.27,1.08,1.27,98.36,99.14,0.00,2.11,-0.18
0.1278,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.23,-0.01,98.63,1.80,1.88,2.15,98.35,99.13,0.00,2.07,-0.18
0.1360,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.22,-0.01,98.62,1.18,1.00,1.27,98.35,99.13,0.00,2.03,-0.18
0.1452,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.21,-0.01,98.62,1.46,1.30,1.61,98.34,99.12,0.00,1.99,-0.18
0.1539,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.20,-0.01,98.62,1.01,0.71,0.98,98.34,99.12,0.00,1.94,-0.19
0.1617,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.20,-0.01,98.63,1.18,1.04,0.92,98.35,99.13,0.00,1.90,-0.19
0.1707,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.19,-0.01,98.63,0.98,0.67,0.90,98.35,99.13,0.00,1.85,-0.19
0.1797,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.18,-0.01,98.62,1.23,1.03,1.33,98.35,99.13,0.00,1.80,-0.20
0.1879,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.17,-0.01,98.63,0.85,0.49,0.61,98.35,99.13,0.00,1.75,-0.20
0.1960,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.17,-0.01,98.63,0.87,0.62,0.56,98.36,99.14,0.00,1.71,-0.21
0.2038,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.16,-0.01,98.64,0.89,0.66,0.56,98.36,99.14,0.00,1.66,-0.21
0.2120,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.16,-0.01,98.64,0.91,0.55,0.75,98.36,99.14,0.00,1.61,-0.22
0.2202,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.15,-0.01,98.64,1.01,0.68,0.93,98.36,99.14,0.00,1.56,-0.22
0.2285,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.14,-0.01,98.63,0.99,0.74,1.03,98.36,99.14,0.00,1.50,-0.23
0.2381,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.14,-0.01,98.62,1.81,1.76,2.08,98.35,99.13,0.00,1.44,-0.23
0.2468,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.13,-0.02,98.62,0.99,0.80,1.14,98.34,99.12,0.00,1.39,-0.23
0.2555,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.12,-0.02,98.62,0.84,0.45,0.60,98.35,99.13,0.00,1.33,-0.24
0.2640,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.12,-0.02,98.63,0.84,0.50,0.51,98.35,99.13,0.00,1.27,-0.24
0.2728,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.11,-0.02,98.63,0.89,0.50,0.68,98.35,99.13,0.00,1.21,-0.25
0.2824,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.10,-0.02,98.62,1.46,1.30,1.60,98.34,99.13,0.00,1.15,-0.25
0.2908,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.09,-0.02,98.62,0.93,0.50,0.52,98.35,99.13,0.00,1.09,-0.26
0.3004,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.09,-0.02,98.62,1.23,0.97,1.26,98.34,99.12,0.00,1.03,-0.26
