t,state,grounded,bean_x,bean_y,bean_z,bean_vx,bean_vy,bean_vz,bean_pitch,bean_roll,pelvis_x,pelvis_y,pelvis_z,pelvis_speed,foot_l_speed,foot_r_speed,hand_r_z,head_z,bean_yaw,pelvis_yaw,pelvis_pitch
0.0075,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.18,-0.09,102.09,1.87,2.18,1.34,103.56,151.56,0.00,-87.56,-0.17
0.0153,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.17,-0.09,102.09,1.28,2.19,1.24,103.54,151.57,0.00,-87.57,-0.18
0.0242,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.18,-0.09,102.07,3.22,0.72,0.79,103.51,151.55,0.00,-87.59,-0.18
0.0321,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.18,-0.09,102.07,2.01,1.76,1.49,103.49,151.55,0.00,-87.60,-0.19
0.0400,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.18,-0.09,102.07,1.64,2.15,1.33,103.48,151.55,0.00,-87.62,-0.19
0.0470,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.18,-0.09,102.09,2.22,3.95,2.64,103.49,151.57,0.00,-87.64,-0.19
0.0544,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.18,-0.09,102.12,2.35,3.54,1.86,103.50,151.59,0.00,-87.66,-0.20
0.0604,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.18,-0.09,102.15,4.70,5.44,3.41,103.52,151.63,0.00,-87.67,-0.20
0.0664,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.19,-0.09,102.19,5.53,5.64,3.23,103.56,151.67,0.00,-87.69,-0.20
0.0720,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.20,-0.10,102.23,5.84,5.59,4.03,103.60,151.70,0.00,-87.70,-0.20
0.0780,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.21,-0.10,102.25,4.83,4.37,4.81,103.64,151.73,0.00,-87.72,-0.20
0.0853,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.23,-0.10,102.25,3.32,1.93,2.64,103.66,151.73,0.00,-87.74,-0.19
0.0922,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.24,-0.10,102.24,3.35,2.00,2.85,103.67,151.72,0.00,-87.76,-0.19
0.0999,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.26,-0.10,102.22,4.69,1.35,1.99,103.66,151.70,0.00,-87.78,-0.19
0.1079,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.27,-0.10,102.18,5.47,1.29,1.72,103.63,151.66,0.00,-87.81,-0.19
0.1163,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.28,-0.10,102.13,6.08,1.22,1.36,103.58,151.61,0.00,-87.84,-0.19
0.1226,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.27,-0.10,102.14,0.68,2.84,2.79,103.56,151.61,0.00,-87.85,-0.19
0.1287,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.26,-0.10,102.16,2.87,4.26,4.45,103.56,151.64,0.00,-87.87,-0.20
0.1369,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.26,-0.10,102.16,0.79,1.64,2.16,103.54,151.64,0.00,-87.90,-0.20
0.1442,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.25,-0.10,102.16,0.72,1.71,2.57,103.52,151.64,0.00,-87.92,-0.20
0.1512,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.25,-0.10,102.17,0.50,2.02,2.99,103.51,151.65,0.00,-87.95,-0.20
0.1583,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.24,-0.10,102.17,0.53,1.99,3.00,103.49,151.65,0.00,-87.98,-0.20
0.1649,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.23,-0.10,102.18,1.00,2.65,3.73,103.49,151.66,0.00,-88.00,-0.20
0.1733,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.23,-0.10,102.16,2.91,0.42,1.38,103.46,151.64,0.00,-88.04,-0.21
0.1801,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.23,-0.10,102.16,1.08,2.00,3.18,103.44,151.64,0.00,-88.07,-0.21
0.1878,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.22,-0.10,102.15,2.09,0.89,2.06,103.42,151.63,0.00,-88.10,-0.21
0.1960,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.22,-0.10,102.12,3.46,0.42,1.53,103.37,151.61,0.00,-88.14,-0.21
0.2043,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.21,-0.10,102.10,4.12,0.57,1.28,103.33,151.58,0.00,-88.18,-0.22
0.2123,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.20,-0.10,102.08,3.42,0.59,1.30,103.28,151.56,0.00,-88.22,-0.22
0.2213,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.19,-0.10,102.05,4.55,1.53,1.18,103.22,151.53,0.00,-88.27,-0.23
0.2287,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.17,-0.10,102.05,1.34,1.17,1.75,103.19,151.53,0.00,-88.31,-0.24
0.2375,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.16,-0.10,102.04,2.33,1.15,0.72,103.14,151.52,0.00,-88.36,-0.24
0.2458,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.16,-0.10,102.04,1.79,2.78,0.88,103.11,151.52,0.00,-88.40,-0.24
0.2536,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.15,-0.10,102.05,0.85,1.68,1.25,103.08,151.53,0.00,-88.45,-0.25
0.2616,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.14,-0.11,102.06,0.83,1.71,1.38,103.06,151.54,0.00,-88.49,-0.25
