t,state,grounded,bean_x,bean_y,bean_z,bean_vx,bean_vy,bean_vz,bean_pitch,bean_roll,pelvis_x,pelvis_y,pelvis_z,pelvis_speed,foot_l_speed,foot_r_speed,hand_r_z,head_z,bean_yaw,pelvis_yaw,pelvis_pitch
0.0087,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.22,-0.08,102.03,2.84,1.83,0.85,103.44,151.51,0.00,-87.59,-0.20
0.0210,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.23,-0.08,101.93,9.04,2.75,3.47,103.34,151.40,0.00,-87.61,-0.20
0.0302,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.23,-0.08,101.90,4.80,1.52,1.34,103.29,151.37,0.00,-87.63,-0.21
0.0391,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.22,-0.07,101.90,1.59,1.38,1.72,103.25,151.37,0.00,-87.65,-0.21
0.0473,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.21,-0.07,101.94,2.06,1.97,3.11,103.25,151.41,0.00,-87.67,-0.22
0.0556,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.21,-0.07,101.98,2.96,2.28,2.85,103.26,151.45,0.00,-87.69,-0.22
0.0641,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.21,-0.06,102.00,2.36,3.07,1.89,103.27,151.48,0.00,-87.72,-0.22
0.0748,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.22,-0.06,101.97,4.22,0.68,1.40,103.24,151.45,0.00,-87.75,-0.22
0.0810,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.22,-0.06,102.01,4.52,5.01,5.52,103.27,151.49,0.00,-87.77,-0.22
0.0897,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.23,-0.06,102.04,2.67,3.69,1.99,103.29,151.51,0.00,-87.80,-0.22
0.0981,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.24,-0.05,102.05,2.26,2.99,1.66,103.30,151.52,0.00,-87.83,-0.22
0.1065,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.25,-0.05,102.05,2.53,2.41,1.23,103.30,151.52,0.00,-87.86,-0.22
0.1154,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.26,-0.05,102.03,3.34,1.81,1.46,103.29,151.51,0.00,-87.88,-0.22
0.1254,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.27,-0.05,101.98,5.59,1.29,1.27,103.24,151.46,0.00,-87.92,-0.22
0.1342,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.27,-0.05,101.96,3.73,0.50,1.62,103.21,151.44,0.00,-87.95,-0.22
0.1430,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.27,-0.04,101.96,2.27,0.52,1.29,103.18,151.43,0.00,-87.98,-0.22
0.1516,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.26,-0.04,101.96,1.16,0.54,1.35,103.16,151.44,0.00,-88.02,-0.23
0.1602,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.26,-0.04,101.98,0.88,0.69,1.44,103.15,151.45,0.00,-88.05,-0.23
