t,state,grounded,bean_x,bean_y,bean_z,bean_vx,bean_vy,bean_vz,bean_pitch,bean_roll,pelvis_x,pelvis_y,pelvis_z,pelvis_speed,foot_l_speed,foot_r_speed,hand_r_z,head_z,bean_yaw,pelvis_yaw,pelvis_pitch
0.0068,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.06,-0.04,102.10,3.70,5.06,2.84,103.48,151.58,0.00,-87.59,-0.14
0.0173,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.07,-0.03,102.07,4.03,1.65,2.50,103.44,151.55,0.00,-87.61,-0.14
0.0242,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.07,-0.03,102.08,0.90,3.74,2.44,103.44,151.56,0.00,-87.62,-0.15
0.0316,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.07,-0.03,102.10,1.69,1.21,2.11,103.45,151.58,0.00,-87.63,-0.15
0.0395,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.08,-0.04,102.11,1.83,2.30,1.24,103.46,151.58,0.00,-87.64,-0.15
0.0475,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.08,-0.04,102.10,2.48,0.55,1.17,103.46,151.58,0.00,-87.66,-0.15
0.0578,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.10,-0.04,102.04,6.68,1.83,1.91,103.41,151.52,0.00,-87.69,-0.15
0.0659,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.10,-0.04,102.02,3.93,1.75,1.55,103.38,151.50,0.00,-87.71,-0.16
0.0752,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.10,-0.04,101.99,4.42,0.99,1.11,103.33,151.47,0.00,-87.73,-0.17
0.0841,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.10,-0.04,101.98,3.39,1.49,1.16,103.29,151.45,0.00,-87.76,-0.17
0.0913,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.10,-0.04,102.00,2.11,4.37,2.92,103.29,151.48,0.00,-87.78,-0.18
0.0995,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.10,-0.04,102.03,2.23,3.79,1.99,103.30,151.50,0.00,-87.81,-0.19
0.1080,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.10,-0.04,102.04,1.82,2.93,1.39,103.30,151.52,0.00,-87.84,-0.19
0.1175,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.11,-0.04,102.02,3.44,1.08,1.14,103.27,151.50,0.00,-87.88,-0.19
0.1272,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.12,-0.04,101.99,5.07,0.78,1.09,103.23,151.46,0.00,-87.91,-0.19
0.1344,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.11,-0.04,102.00,1.35,3.75,3.10,103.22,151.48,0.00,-87.94,-0.20
0.1435,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.12,-0.04,102.00,2.05,2.11,1.15,103.21,151.48,0.00,-87.98,-0.20
0.1521,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.12,-0.05,102.00,2.04,2.07,1.15,103.19,151.48,0.00,-88.01,-0.21
0.1602,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.12,-0.05,102.01,1.52,2.91,1.64,103.18,151.49,0.00,-88.05,-0.21
0.1682,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.12,-0.05,102.03,1.65,3.09,1.76,103.18,151.50,0.00,-88.09,-0.22
0.1766,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.13,-0.05,102.03,1.78,2.42,1.39,103.18,151.51,0.00,-88.13,-0.22
0.1850,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.13,-0.05,102.03,1.94,2.15,1.63,103.17,151.51,0.00,-88.17,-0.22
0.1927,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.13,-0.05,102.04,1.51,2.93,2.36,103.17,151.52,0.00,-88.20,-0.22
0.1994,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.13,-0.06,102.07,3.46,4.75,4.93,103.18,151.55,0.00,-88.23,-0.23
0.2080,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.14,-0.06,102.08,1.83,2.30,3.27,103.19,151.56,0.00,-88.27,-0.23
0.2148,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.14,-0.06,102.10,2.93,4.02,5.25,103.20,151.58,0.00,-88.30,-0.23
0.2216,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.14,-0.06,102.13,3.59,4.18,5.29,103.22,151.61,0.00,-88.34,-0.24
0.2281,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.14,-0.07,102.16,4.43,4.58,5.68,103.25,151.64,0.00,-88.37,-0.24
0.2365,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.15,-0.07,102.16,2.33,1.42,2.71,103.26,151.64,0.00,-88.41,-0.24
0.2448,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.16,-0.07,102.14,3.31,1.06,2.35,103.24,151.62,0.00,-88.45,-0.25
0.2522,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.16,-0.07,102.14,2.29,1.77,3.23,103.23,151.62,0.00,-88.49,-0.25
0.2608,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.17,-0.08,102.12,3.66,0.82,1.60,103.20,151.60,0.00,-88.54,-0.26
