t,state,grounded,bean_x,bean_y,bean_z,bean_vx,bean_vy,bean_vz,bean_pitch,bean_roll,pelvis_x,pelvis_y,pelvis_z,pelvis_speed,foot_l_speed,foot_r_speed,hand_r_z,head_z,bean_yaw,pelvis_yaw,pelvis_pitch
0.0072,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.20,-0.07,102.29,2.33,1.89,2.39,108.41,151.76,0.00,-87.54,-0.22
0.0217,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.22,-0.06,102.09,13.45,6.25,5.26,108.33,151.57,0.00,-87.59,-0.22
0.0309,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.21,-0.06,102.00,9.64,3.94,2.57,108.27,151.48,0.00,-87.61,-0.22
0.0396,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.19,-0.05,101.97,5.23,3.31,1.71,108.21,151.45,0.00,-87.63,-0.22
0.0488,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.17,-0.05,101.96,3.30,3.28,1.12,108.14,151.44,0.00,-87.65,-0.22
0.0562,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.14,-0.05,102.00,3.07,4.00,3.09,108.10,151.47,0.00,-87.66,-0.23
0.0661,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.12,-0.05,102.00,1.57,3.08,1.26,108.03,151.48,0.00,-87.69,-0.22
0.0741,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.10,-0.05,102.02,1.27,2.06,1.81,107.98,151.50,0.00,-87.70,-0.22
0.0805,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.09,-0.05,102.07,5.22,3.85,4.08,107.96,151.54,0.00,-87.72,-0.23
0.0884,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.08,-0.06,102.10,3.01,3.98,4.16,107.94,151.58,0.00,-87.74,-0.23
0.0953,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.07,-0.06,102.13,3.74,5.03,5.54,107.93,151.61,0.00,-87.76,-0.23
0.1007,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.07,-0.06,102.17,7.18,7.27,8.06,107.94,151.65,0.00,-87.77,-0.23
0.1085,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.08,-0.06,102.20,3.33,3.54,4.16,107.95,151.68,0.00,-87.80,-0.23
0.1165,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.09,-0.06,102.19,2.52,2.02,2.70,107.94,151.67,0.00,-87.82,-0.23
0.1239,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.10,-0.07,102.18,2.65,2.27,3.14,107.93,151.66,0.00,-87.85,-0.23
0.1318,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.11,-0.07,102.17,3.25,1.64,2.56,107.91,151.65,0.00,-87.87,-0.23
0.1403,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.11,-0.07,102.13,4.60,0.99,1.79,107.88,151.61,0.00,-87.91,-0.23
0.1485,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.11,-0.07,102.11,3.98,0.72,2.02,107.84,151.58,0.00,-87.94,-0.24
0.1568,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.11,-0.07,102.09,3.38,0.34,1.95,107.81,151.56,0.00,-87.98,-0.24
0.1650,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.10,-0.07,102.07,2.64,0.90,2.53,107.77,151.55,0.00,-88.02,-0.25
0.1712,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.09,-0.08,102.10,3.82,4.32,6.41,107.76,151.58,0.00,-88.04,-0.25
0.1891,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.09,-0.07,101.87,13.36,7.30,5.85,107.50,151.34,0.00,-88.17,-0.25
0.1973,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.07,-0.07,101.86,2.78,2.86,3.33,107.42,151.34,0.00,-88.21,-0.26
0.2051,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.05,-0.08,101.90,3.31,5.19,3.93,107.37,151.38,0.00,-88.24,-0.27
0.2115,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.03,-0.08,101.98,9.88,9.84,6.36,107.37,151.46,0.00,-88.27,-0.28
0.2182,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.02,-0.08,102.07,10.60,9.49,8.33,107.39,151.54,0.00,-88.30,-0.29
0.2255,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.02,-0.09,102.13,8.04,6.36,7.53,107.41,151.61,0.00,-88.33,-0.29
0.2335,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.03,-0.09,102.16,4.12,4.63,4.77,107.44,151.64,0.00,-88.36,-0.30
0.2415,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.05,-0.10,102.17,2.68,2.89,3.69,107.45,151.65,0.00,-88.40,-0.30
0.2477,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.05,-0.10,102.19,3.09,2.94,5.61,107.48,151.67,0.00,-88.43,-0.31
0.2556,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.07,-0.10,102.19,2.74,1.72,1.26,107.50,151.67,0.00,-88.48,-0.31
0.2631,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.08,-0.10,102.18,2.71,1.44,3.01,107.52,151.66,0.00,-88.53,-0.32
0.2690,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.08,-0.11,102.20,2.67,4.13,3.22,107.55,151.68,0.00,-88.56,-0.32
0.2762,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.08,-0.11,102.21,2.12,2.31,3.36,107.58,151.69,0.00,-88.60,-0.33
0.2824,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.08,-0.11,102.23,2.79,3.30,4.66,107.62,151.71,0.00,-88.63,-0.33
0.2886,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.09,-0.12,102.25,3.08,2.89,4.70,107.66,151.73,0.00,-88.67,-0.34
0.2967,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.10,-0.12,102.24,2.61,2.36,2.24,107.69,151.72,0.00,-88.71,-0.34
0.3031,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.10,-0.12,102.24,1.59,1.84,3.83,107.71,151.72,0.00,-88.75,-0.35
0.3097,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.10,-0.13,102.25,1.62,3.06,3.64,107.74,151.73,0.00,-88.78,-0.36
0.3156,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.10,-0.13,102.27,2.45,3.25,5.95,107.77,151.75,0.00,-88.82,-0.36
0.3223,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.10,-0.13,102.28,1.67,2.48,5.08,107.80,151.76,0.00,-88.86,-0.37
0.3285,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.10,-0.13,102.28,1.64,2.56,5.33,107.83,151.77,0.00,-88.90,-0.37
0.3366,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.11,-0.14,102.26,3.49,2.17,2.33,107.84,151.74,0.00,-88.96,-0.37
0.3445,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.11,-0.14,102.23,4.71,1.75,2.77,107.82,151.71,0.00,-89.02,-0.38
0.3531,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.11,-0.14,102.18,6.27,2.18,2.32,107.79,151.66,0.00,-89.09,-0.38
0.3590,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.09,-0.14,102.18,1.17,2.66,6.99,107.77,151.67,0.00,-89.13,-0.39
0.3681,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.08,-0.14,102.16,3.46,1.09,3.07,107.73,151.64,0.00,-89.20,-0.39
0.3756,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.07,-0.14,102.15,2.42,0.92,2.00,107.68,151.63,0.00,-89.26,-0.40
0.3832,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.06,-0.13,102.15,1.80,1.89,1.99,107.64,151.63,0.00,-89.32,-0.40
0.3919,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.05,-0.13,102.12,3.67,1.63,2.43,107.57,151.61,0.00,-89.38,-0.41
0.4000,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.04,-0.13,102.11,3.05,1.38,2.17,107.50,151.59,0.00,-89.44,-0.41
0.4076,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.03,-0.13,102.11,1.56,2.11,2.38,107.45,151.59,0.00,-89.50,-0.42
0.4152,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.02,-0.13,102.11,0.77,2.50,2.39,107.39,151.59,0.00,-89.55,-0.42
0.4222,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.01,-0.12,102.13,1.18,3.32,2.83,107.36,151.61,0.00,-89.60,-0.43
0.4295,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.00,-0.12,102.14,0.97,2.76,2.54,107.32,151.62,0.00,-89.64,-0.43
0.4364,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.00,-0.12,102.16,1.82,4.12,4.09,107.29,151.64,0.00,-89.68,-0.44
0.4446,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.00,-0.12,102.16,1.42,2.64,2.64,107.25,151.64,0.00,-89.73,-0.44
0.4533,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.00,-0.12,102.13,3.61,2.77,1.89,107.19,151.62,0.00,-89.80,-0.44
0.4582,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.99,-0.12,102.17,5.60,6.60,10.42,107.18,151.65,0.00,-89.82,-0.45
0.4662,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.99,-0.12,102.19,2.14,2.77,6.34,107.16,151.67,0.00,-89.88,-0.45
0.4742,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.00,-0.12,102.18,2.06,2.56,4.32,107.13,151.67,0.00,-89.94,-0.45
0.4825,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.01,-0.12,102.16,3.84,2.19,3.39,107.09,151.64,0.00,-90.00,-0.45
0.4901,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.01,-0.12,102.14,3.13,1.22,5.39,107.05,151.62,0.00,-90.06,-0.45
0.4990,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.01,-0.11,102.10,5.06,1.02,3.78,106.99,151.59,0.00,-90.13,-0.46
0.5065,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.02,-0.11,102.09,2.86,1.38,2.03,106.95,151.57,0.00,-90.19,-0.46
0.9065,Walk,1,853.80,0.00,90.00,91.34,0.00,0.00,0.00,0.00,850.06,-0.07,100.87,35.45,18.76,15.72,105.64,150.34,0.00,-91.72,-0.45
1.3065,Walk,1,859.83,0.00,90.02,157.99,0.00,0.00,0.00,0.00,850.32,0.03,99.52,51.91,137.66,172.58,102.37,148.94,0.00,-86.71,0.07
1.7065,Walk,1,867.47,0.00,90.00,206.62,0.00,0.00,0.00,0.00,852.36,-0.11,98.81,61.37,127.74,159.46,102.08,148.11,0.00,-92.71,1.22
2.1065,Walk,1,876.30,0.00,90.00,242.11,0.00,0.00,0.00,0.00,856.37,0.36,98.08,123.85,179.19,108.27,103.62,146.96,0.00,-95.62,0.50
2.5065,Walk,1,885.99,0.00,90.02,268.00,0.00,0.00,0.00,0.00,861.88,0.64,98.40,149.82,221.37,54.83,99.75,147.46,0.00,-86.80,-1.59
2.9065,Walk,1,896.32,0.00,90.00,286.89,0.00,0.00,0.00,0.00,869.36,0.07,97.70,203.22,158.69,156.14,97.22,146.70,0.00,-90.02,0.47
3.3065,Walk,1,907.10,0.00,90.00,300.67,0.00,0.00,0.00,0.00,877.88,-0.05,97.35,256.23,295.51,93.29,97.73,146.15,0.00,-93.68,1.31
3.7065,Walk,1,917.10,2.69,90.02,278.06,74.90,0.00,0.00,0.00,887.85,0.11,98.11,286.09,237.69,303.36,94.27,146.71,11.80,-84.61,-1.47
4.1065,Walk,1,925.94,7.69,90.00,245.57,138.92,-0.00,-0.00,0.00,898.86,-0.01,98.37,321.88,434.57,240.83,96.45,146.96,23.60,-89.91,1.80
4.5065,Walk,1,933.30,14.61,90.00,204.24,192.00,0.00,0.00,0.00,911.04,2.70,99.24,297.20,480.65,355.35,93.42,147.58,35.39,-65.43,-2.33
4.9065,Walk,1,942.02,18.65,90.00,240.88,111.50,-0.00,0.00,-0.00,923.51,4.57,98.94,353.25,633.22,245.58,96.11,147.39,23.60,-75.99,1.78
5.3065,Walk,1,951.42,19.97,90.00,259.45,36.55,-0.00,0.00,0.00,934.58,9.06,98.26,309.08,519.07,374.89,92.43,146.95,11.80,-57.26,-1.55
5.7065,Walk,1,960.91,18.78,90.00,262.21,-32.97,0.00,-0.00,0.00,948.42,11.43,97.08,308.25,520.81,469.14,94.57,145.42,0.00,-82.77,-0.69
6.1065,Walk,1,969.98,15.29,90.00,250.77,-96.56,0.00,0.00,0.00,958.95,16.11,95.58,324.07,311.02,389.93,92.04,144.27,-11.80,-76.41,-1.51
6.5065,Walk,1,979.80,12.16,90.00,272.98,-86.88,0.00,0.00,0.00,970.00,17.29,95.02,256.76,170.36,552.31,90.77,143.69,-11.80,-90.63,-0.32
6.9065,Walk,1,990.17,9.27,90.00,288.95,-80.61,0.00,0.00,0.00,978.35,18.96,93.87,255.90,220.98,401.45,91.42,142.90,-11.80,-99.20,-0.05
7.3065,Walk,1,1000.92,6.53,90.00,300.47,-76.53,0.00,0.00,0.00,986.14,19.15,95.16,237.38,219.37,494.43,89.65,144.13,-11.80,-95.86,-1.82
7.7065,Walk,1,1011.95,3.89,90.00,308.80,-73.88,0.00,0.00,0.00,994.59,17.85,95.66,246.17,184.70,420.52,93.04,144.50,-11.80,-108.27,-0.19
8.1065,Walk,1,1019.46,2.10,90.00,203.19,-48.61,0.00,0.00,0.00,1004.84,16.01,97.00,278.94,146.28,397.05,93.37,145.53,-11.80,-95.74,-1.59
