t,state,grounded,bean_x,bean_y,bean_z,bean_vx,bean_vy,bean_vz,bean_pitch,bean_roll,pelvis_x,pelvis_y,pelvis_z,pelvis_speed,foot_l_speed,foot_r_speed,hand_r_z,head_z,bean_yaw,pelvis_yaw,pelvis_pitch
0.0079,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.98,-0.11,102.08,1.23,0.82,1.42,108.00,151.55,0.00,-87.54,-0.23
0.0251,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.00,-0.10,101.80,15.91,8.05,6.42,107.72,151.28,0.00,-87.58,-0.23
0.0341,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.98,-0.10,101.78,5.14,1.36,2.73,107.61,151.25,0.00,-87.60,-0.24
0.0421,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.96,-0.09,101.83,3.87,3.33,5.18,107.56,151.30,0.00,-87.62,-0.26
0.0506,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.96,-0.09,101.90,5.82,3.62,4.79,107.53,151.38,0.00,-87.64,-0.27
0.0599,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.96,-0.09,101.96,4.02,4.13,3.43,107.50,151.43,0.00,-87.67,-0.28
0.0679,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.97,-0.09,102.00,4.57,5.68,3.22,107.49,151.48,0.00,-87.69,-0.28
0.0740,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.97,-0.09,102.06,8.65,8.79,5.57,107.52,151.54,0.00,-87.71,-0.29
0.0806,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.99,-0.10,102.12,8.18,7.64,4.32,107.57,151.60,0.00,-87.73,-0.29
0.0877,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.01,-0.10,102.16,6.32,5.38,5.39,107.61,151.64,0.00,-87.75,-0.29
0.0940,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.03,-0.10,102.19,5.99,5.05,5.77,107.67,151.67,0.00,-87.77,-0.28
0.1004,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.06,-0.10,102.22,5.49,4.39,5.08,107.73,151.69,0.00,-87.79,-0.28
0.1088,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.09,-0.10,102.20,5.23,2.13,2.64,107.78,151.68,0.00,-87.82,-0.28
0.1160,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.11,-0.10,102.19,4.67,2.42,3.14,107.83,151.67,0.00,-87.84,-0.28
0.1221,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.13,-0.10,102.20,3.44,3.65,4.56,107.87,151.68,0.00,-87.86,-0.28
0.1290,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.15,-0.10,102.21,3.25,2.73,3.51,107.92,151.69,0.00,-87.88,-0.28
0.1368,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.16,-0.10,102.20,3.36,1.37,2.18,107.97,151.68,0.00,-87.91,-0.29
0.1431,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.17,-0.10,102.21,2.39,3.25,4.25,108.01,151.69,0.00,-87.93,-0.29
0.1501,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.18,-0.10,102.22,2.29,2.48,1.53,108.05,151.70,0.00,-87.96,-0.29
0.1570,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.18,-0.11,102.23,1.89,2.29,2.97,108.09,151.71,0.00,-87.99,-0.29
0.1650,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.19,-0.11,102.21,3.16,0.76,1.02,108.11,151.69,0.00,-88.03,-0.30
0.1713,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.19,-0.11,102.22,1.22,2.70,3.81,108.13,151.70,0.00,-88.05,-0.30
0.1794,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.20,-0.11,102.20,2.95,0.71,1.20,108.14,151.68,0.00,-88.09,-0.30
0.1851,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.19,-0.11,102.22,1.90,3.81,4.98,108.16,151.70,0.00,-88.12,-0.31
0.1918,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.19,-0.11,102.24,1.91,2.99,3.78,108.18,151.72,0.00,-88.15,-0.31
0.1981,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.19,-0.11,102.25,2.25,2.85,4.07,108.20,151.73,0.00,-88.18,-0.31
0.2046,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.19,-0.11,102.27,1.87,2.32,3.63,108.21,151.75,0.00,-88.21,-0.32
0.2124,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.19,-0.12,102.25,2.51,2.02,1.82,108.21,151.74,0.00,-88.24,-0.32
0.2180,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.19,-0.12,102.27,1.56,2.36,4.56,108.21,151.75,0.00,-88.27,-0.32
0.2257,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.19,-0.12,102.26,2.17,1.87,2.03,108.20,151.74,0.00,-88.31,-0.33
0.2333,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.19,-0.12,102.24,3.36,1.68,1.82,108.18,151.72,0.00,-88.35,-0.33
0.2402,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.19,-0.13,102.22,2.44,1.25,2.45,108.15,151.71,0.00,-88.39,-0.34
0.2470,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.18,-0.13,102.22,1.73,0.94,2.50,108.13,151.70,0.00,-88.42,-0.34
0.2533,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.18,-0.13,102.23,1.25,2.76,3.72,108.11,151.71,0.00,-88.46,-0.35
0.2601,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.17,-0.14,102.24,1.16,2.46,3.11,108.09,151.72,0.00,-88.49,-0.36
0.2666,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.17,-0.14,102.25,1.35,2.33,3.45,108.07,151.73,0.00,-88.53,-0.36
0.2722,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.16,-0.14,102.27,3.34,3.37,4.98,108.06,151.75,0.00,-88.56,-0.36
0.2797,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.16,-0.15,102.27,1.34,3.39,2.37,108.04,151.76,0.00,-88.60,-0.37
0.2851,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.15,-0.15,102.29,2.61,4.20,4.60,108.03,151.77,0.00,-88.62,-0.37
0.2919,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.15,-0.15,102.30,1.31,3.54,2.85,108.02,151.78,0.00,-88.66,-0.37
0.2988,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.15,-0.16,102.29,1.56,3.42,2.37,108.00,151.78,0.00,-88.70,-0.38
0.3056,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.14,-0.16,102.29,1.98,3.05,2.45,107.97,151.77,0.00,-88.74,-0.38
