t,state,grounded,bean_x,bean_y,bean_z,bean_vx,bean_vy,bean_vz,bean_pitch,bean_roll,pelvis_x,pelvis_y,pelvis_z,pelvis_speed,foot_l_speed,foot_r_speed,hand_r_z,head_z,bean_yaw,pelvis_yaw,pelvis_pitch
0.0064,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,860.89,13.51,46.17,543.88,852.85,802.55,99.48,88.49,0.00,2.67,-0.12
0.0143,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,857.63,19.04,45.41,530.52,850.86,794.84,-93.06,97.30,0.00,2.65,-0.11
0.0203,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,855.16,23.22,44.99,519.59,851.79,781.50,36.47,91.85,0.00,2.64,-0.11
0.0265,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,852.62,27.51,44.56,508.14,846.90,770.43,-39.48,94.67,0.00,2.63,-0.11
0.0326,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.14,31.67,44.22,495.69,843.90,756.23,12.65,93.00,0.00,2.62,-0.10
0.0383,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,847.78,35.59,43.93,484.47,839.00,743.57,-33.64,92.65,0.00,2.61,-0.10
0.0461,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,844.63,40.77,43.59,465.03,833.16,726.90,12.60,93.28,0.00,2.59,-0.10
0.0524,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,842.12,44.87,43.36,452.92,827.55,713.28,-40.80,92.10,0.00,2.57,-0.09
0.0585,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,839.65,48.84,43.16,440.54,819.05,694.64,28.44,92.96,0.00,2.55,-0.09
0.0652,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,836.99,53.10,42.99,425.43,811.80,676.61,-56.04,91.76,0.00,2.53,-0.08
0.0708,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,834.77,56.60,42.84,414.85,803.73,659.73,50.66,92.76,0.00,2.51,-0.08
0.0768,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,832.39,60.33,42.74,401.59,794.94,639.99,-71.48,91.54,0.00,2.49,-0.08
0.0830,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,830.00,64.02,42.62,387.72,785.80,621.91,70.79,92.61,0.00,2.47,-0.07
0.0893,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,827.57,67.74,42.54,373.30,775.94,602.60,-90.77,91.29,0.00,2.44,-0.07
0.0952,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,825.32,71.12,42.44,360.58,765.11,583.94,101.06,92.43,0.00,2.42,-0.06
0.1007,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,823.24,74.22,42.39,349.61,754.84,564.96,-127.55,90.89,0.00,2.40,-0.06
