t,state,grounded,bean_x,bean_y,bean_z,bean_vx,bean_vy,bean_vz,bean_pitch,bean_roll,pelvis_x,pelvis_y,pelvis_z,pelvis_speed,foot_l_speed,foot_r_speed,hand_r_z,head_z
0.0067,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.52,0.90,98.68,0.19,0.29,0.48,98.41,99.19
0.0152,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.52,0.90,98.67,1.72,1.80,1.98,98.40,99.18
0.0235,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.51,0.90,98.65,1.21,1.51,1.90,98.39,99.17
0.0308,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.51,0.90,98.66,0.41,0.32,0.15,98.39,99.17
0.0374,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.51,0.90,98.67,1.50,1.70,1.58,98.40,99.19
0.0446,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.51,0.90,98.68,0.70,0.80,0.82,98.41,99.19
0.0513,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.51,0.90,98.69,0.54,0.53,0.56,98.41,99.20
0.0581,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.51,0.90,98.69,0.43,0.04,0.20,98.41,99.20
0.0651,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.51,0.90,98.68,0.65,0.40,0.48,98.41,99.19
0.0719,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.51,0.90,98.68,0.67,0.41,0.51,98.41,99.19
0.0801,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.50,0.90,98.67,1.71,1.71,1.86,98.40,99.18
0.0868,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.50,0.90,98.67,0.69,0.27,0.16,98.40,99.18
0.0945,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.49,0.90,98.67,0.67,0.24,0.35,98.40,99.19
0.1015,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.49,0.90,98.68,0.66,0.27,0.17,98.40,99.19
0.1083,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.49,0.90,98.68,0.80,0.58,0.52,98.41,99.19
0.1155,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.48,0.90,98.68,0.76,0.27,0.24,98.41,99.19
0.1230,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.48,0.89,98.68,1.08,0.79,0.85,98.40,99.19
0.1298,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.47,0.89,98.68,0.88,0.39,0.13,98.41,99.19
0.1364,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.47,0.89,98.69,0.97,0.73,0.66,98.41,99.20
0.1436,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.46,0.89,98.68,0.91,0.41,0.34,98.41,99.20
0.1521,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.45,0.89,98.67,2.03,1.96,2.09,98.40,99.18
0.1591,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.45,0.89,98.67,0.92,0.30,0.31,98.40,99.18
0.1659,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.44,0.89,98.68,1.16,0.94,0.81,98.41,99.19
0.1728,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.44,0.89,98.69,1.06,0.78,0.73,98.41,99.20
0.1797,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.43,0.89,98.69,0.94,0.42,0.34,98.41,99.20
0.1865,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.43,0.89,98.69,0.96,0.34,0.21,98.41,99.20
0.1931,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.42,0.89,98.69,0.98,0.36,0.22,98.41,99.20
0.2005,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.41,0.89,98.69,1.32,0.94,0.94,98.41,99.20
0.2077,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.40,0.89,98.68,1.07,0.66,0.76,98.41,99.19
0.2144,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.40,0.89,98.68,1.03,0.40,0.21,98.41,99.20
0.2215,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.39,0.89,98.69,1.04,0.37,0.23,98.41,99.20
0.2284,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.38,0.89,98.69,1.06,0.38,0.26,98.41,99.20
0.2352,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.38,0.89,98.69,1.07,0.41,0.27,98.41,99.20
0.2421,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.37,0.89,98.69,1.10,0.41,0.31,98.41,99.20
0.2494,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.36,0.89,98.69,1.30,0.80,0.82,98.41,99.20
0.2568,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.35,0.88,98.68,1.16,0.69,0.80,98.41,99.19
0.2637,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.35,0.88,98.68,1.10,0.37,0.24,98.41,99.20
0.2706,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.34,0.88,98.69,1.11,0.45,0.30,98.41,99.20
