t,state,grounded,bean_x,bean_y,bean_z,bean_vx,bean_vy,bean_vz,bean_pitch,bean_roll,pelvis_x,pelvis_y,pelvis_z,pelvis_speed,foot_l_speed,foot_r_speed,hand_r_z,head_z
0.0096,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.56,0.94,98.66,1.11,1.15,1.26,98.40,99.19
0.0192,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.57,0.93,98.65,0.88,1.15,1.45,98.39,99.18
0.0298,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.57,0.93,98.64,1.78,1.81,2.12,98.38,99.16
0.0390,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.57,0.92,98.64,0.72,0.60,0.55,98.38,99.17
0.0474,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.57,0.92,98.66,1.59,1.86,1.72,98.40,99.18
0.0561,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.56,0.92,98.67,1.12,1.35,1.37,98.41,99.19
0.0646,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.56,0.92,98.68,0.55,0.60,0.63,98.41,99.20
0.0736,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.56,0.91,98.68,0.80,0.60,0.61,98.41,99.20
0.0827,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.56,0.91,98.67,1.14,1.01,1.10,98.40,99.19
0.0918,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.55,0.91,98.66,0.77,0.77,0.96,98.40,99.18
0.1007,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.55,0.90,98.66,0.71,0.34,0.40,98.40,99.19
0.1095,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.54,0.90,98.67,0.69,0.32,0.18,98.40,99.19
0.1188,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.54,0.90,98.67,0.90,0.54,0.54,98.40,99.19
0.1276,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.53,0.89,98.67,0.80,0.37,0.23,98.40,99.19
0.1372,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.52,0.89,98.66,1.24,0.97,1.01,98.40,99.18
0.1468,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.51,0.89,98.65,0.99,0.81,0.94,98.39,99.18
0.1553,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.50,0.88,98.67,1.11,0.90,0.70,98.40,99.19
0.1650,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.49,0.88,98.66,1.05,0.59,0.51,98.40,99.19
0.1740,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.48,0.88,98.67,0.96,0.44,0.25,98.40,99.19
0.1836,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.47,0.88,98.66,1.26,0.90,0.92,98.40,99.18
0.1921,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.47,0.88,98.67,1.07,0.71,0.46,98.40,99.19
0.2016,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.45,0.87,98.67,1.10,0.61,0.50,98.40,99.19
0.2106,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.44,0.87,98.67,1.02,0.47,0.26,98.40,99.19
0.2203,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.43,0.87,98.66,1.36,1.02,1.04,98.40,99.19
0.2289,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.42,0.87,98.67,1.25,0.77,0.41,98.40,99.19
0.2379,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.41,0.87,98.67,1.05,0.61,0.40,98.41,99.20
0.2465,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.40,0.87,98.68,1.06,0.61,0.43,98.41,99.20
0.2556,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.39,0.87,98.68,1.16,0.69,0.58,98.41,99.20
0.2640,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.38,0.87,98.68,1.04,0.51,0.25,98.41,99.20
0.2739,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.37,0.87,98.67,1.66,1.43,1.46,98.40,99.19
0.2827,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.36,0.87,98.67,1.05,0.49,0.38,98.40,99.19
0.2922,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.35,0.87,98.67,1.19,0.74,0.75,98.40,99.19
0.3010,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.34,0.87,98.67,1.05,0.52,0.30,98.41,99.19
0.3107,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.32,0.87,98.67,1.26,0.86,0.89,98.40,99.19
0.3194,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.31,0.87,98.67,1.04,0.51,0.33,98.41,99.20
0.3283,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.30,0.87,98.68,1.04,0.54,0.43,98.41,99.20
0.3374,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.29,0.87,98.68,1.05,0.51,0.50,98.41,99.20
0.3470,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.28,0.87,98.67,1.39,1.09,1.21,98.41,99.19
0.3553,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.27,0.87,98.68,1.30,0.85,0.70,98.41,99.20
0.3646,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.26,0.87,98.68,0.98,0.47,0.55,98.41,99.20
0.3735,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.25,0.88,98.68,1.00,0.48,0.62,98.41,99.20
0.3824,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.25,0.88,98.68,0.99,0.48,0.64,98.41,99.20
0.3918,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.24,0.88,98.68,1.28,0.98,1.18,98.41,99.20
0.4002,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.23,0.88,98.68,1.17,0.72,0.73,98.41,99.20
0.4094,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.22,0.88,98.68,0.93,0.48,0.69,98.42,99.20
0.4182,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.21,0.88,98.68,0.93,0.48,0.72,98.42,99.20
0.4272,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.21,0.88,98.68,0.98,0.55,0.82,98.42,99.20
0.4354,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.20,0.89,98.69,0.99,0.69,0.82,98.42,99.21
0.4450,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.19,0.89,98.68,1.28,1.01,1.24,98.42,99.20
0.4538,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.19,0.89,98.68,0.86,0.44,0.87,98.41,99.20
0.4623,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.18,0.89,98.69,0.97,0.72,0.84,98.42,99.21
0.4707,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.18,0.89,98.69,0.95,0.69,0.87,98.42,99.21
0.4796,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.17,0.89,98.69,0.97,0.56,0.84,98.42,99.21
0.4879,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.16,0.90,98.70,0.92,0.49,0.75,98.42,99.21
0.4967,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.16,0.90,98.69,1.06,0.67,0.95,98.42,99.21
0.5056,Knockdown,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.15,0.90,98.69,993.18,993.18,993.18,98.42,99.21
0.9056,Knockdown,0,848.62,3.36,46.61,0.00,0.00,0.00,0.00,0.00,822.50,0.89,111.33,1043.83,933.58,934.65,111.08,111.83
1.2691,Knockdown,0,806.44,3.42,60.58,0.00,0.00,0.00,0.00,0.00,794.73,0.88,122.56,1035.15,920.19,921.24,122.36,123.03
1.6296,Knockdown,0,764.41,3.49,75.34,0.00,0.00,0.00,0.00,0.00,766.88,0.87,132.36,1023.98,907.53,909.90,132.21,132.79
1.9877,Knockdown,0,722.92,3.56,90.80,0.00,0.00,0.00,0.00,0.00,738.87,0.87,140.75,1011.33,896.83,900.18,140.66,141.15
2.3367,Knockdown,0,682.29,3.60,106.86,0.00,0.00,0.00,0.00,0.00,710.63,0.87,147.77,997.57,888.07,891.59,147.75,148.12
2.7148,Knockdown,0,642.73,3.59,123.39,0.00,0.00,0.00,0.00,0.00,682.15,0.88,153.46,982.73,881.94,885.36,153.50,153.75
3.0903,Knockdown,0,604.48,3.52,140.23,0.00,0.00,0.00,0.00,0.00,653.41,0.90,157.84,966.80,879.21,882.96,157.94,158.07
3.4554,Knockdown,0,567.76,3.42,157.13,0.00,0.00,0.00,0.00,0.00,624.36,0.92,160.96,950.20,879.51,883.68,161.13,161.12
3.8250,GetUp,0,532.76,3.32,90.92,0.00,0.00,-32.50,0.00,0.00,594.97,0.95,162.91,933.56,881.71,885.73,163.13,163.01
4.1976,GetUp,1,532.76,3.32,90.00,0.00,0.00,19.45,0.00,0.00,564.27,0.52,165.03,886.67,847.13,852.13,165.68,165.20
4.5897,GetUp,1,532.76,3.32,90.00,-0.00,-0.00,0.00,0.00,0.00,532.65,0.05,166.07,815.69,928.97,928.72,166.95,166.15
4.9885,GetUp,1,532.76,3.32,90.00,-0.00,-0.00,-0.00,0.00,0.00,502.26,0.02,166.02,744.63,975.03,960.46,166.54,166.15
5.3779,GetUp,1,532.76,3.32,90.00,-0.00,-0.00,0.00,0.00,0.00,471.64,0.91,164.27,706.17,989.79,992.02,164.42,164.42
5.7756,Idle,1,532.76,3.32,90.00,-0.00,-0.00,-0.00,0.00,0.00,441.32,1.91,159.12,684.24,965.91,949.86,159.16,159.41
6.1756,Idle,1,532.76,3.32,90.00,-0.00,-0.00,0.00,0.00,0.00,413.11,2.71,150.35,650.94,889.31,874.42,150.26,150.75
6.5709,Idle,1,532.76,3.32,90.00,-0.00,-0.00,-0.00,0.00,0.00,387.99,3.41,138.76,626.97,806.97,795.14,138.34,139.19
6.9709,Idle,1,532.76,3.32,90.00,-0.00,-0.00,0.00,0.00,0.00,366.27,4.12,125.35,614.68,738.94,726.92,124.59,125.77
7.3695,Idle,1,532.76,3.32,90.00,-0.00,-0.00,-0.00,0.00,0.00,347.71,4.89,110.88,610.88,687.75,676.21,109.89,111.23
7.7695,Idle,1,532.76,3.32,90.00,-0.00,-0.00,-0.00,0.00,0.00,331.96,5.63,95.72,610.58,647.67,638.25,94.72,96.01
8.1654,Idle,1,532.76,3.32,90.00,-0.00,-0.00,-0.00,0.00,0.00,318.57,6.27,82.82,554.56,558.69,556.36,81.78,82.82
