t,state,grounded,bean_x,bean_y,bean_z,bean_vx,bean_vy,bean_vz,bean_pitch,bean_roll,pelvis_x,pelvis_y,pelvis_z,pelvis_speed,foot_l_speed,foot_r_speed,hand_r_z,head_z
0.0071,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.59,0.45,98.68,0.47,0.43,0.55,98.40,99.18
0.0148,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.59,0.45,98.67,1.10,1.11,1.26,98.39,99.17
0.0234,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.58,0.45,98.65,1.47,1.78,2.10,98.38,99.16
0.0302,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.58,0.45,98.66,0.55,0.59,0.37,98.39,99.17
0.0369,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.58,0.45,98.67,1.18,1.39,1.32,98.40,99.18
0.0441,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.58,0.45,98.68,0.41,0.46,0.53,98.40,99.18
0.0515,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.58,0.45,98.67,0.62,0.46,0.58,98.40,99.18
0.0583,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.58,0.45,98.67,0.46,0.25,0.40,98.40,99.18
0.0655,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.58,0.45,98.67,0.66,0.48,0.61,98.40,99.18
0.0725,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.58,0.45,98.67,0.59,0.36,0.51,98.40,99.18
0.0804,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.57,0.45,98.67,1.25,1.16,1.31,98.39,99.17
0.0877,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.57,0.45,98.66,0.59,0.36,0.61,98.39,99.17
0.0955,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.57,0.45,98.66,0.81,0.54,0.70,98.39,99.17
0.1021,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.57,0.45,98.67,0.94,0.92,0.81,98.40,99.18
0.1087,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.56,0.45,98.68,0.99,1.02,1.02,98.40,99.18
0.1158,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.56,0.45,98.68,0.67,0.31,0.36,98.40,99.18
0.1225,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.56,0.45,98.68,0.73,0.34,0.36,98.40,99.19
0.1299,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.55,0.44,98.67,1.26,1.06,1.12,98.40,99.18
0.1389,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.54,0.44,98.65,2.06,2.29,2.56,98.38,99.16
0.1464,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.54,0.44,98.65,0.97,0.52,0.71,98.38,99.16
0.1532,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.53,0.44,98.66,1.30,1.21,1.04,98.39,99.17
0.1599,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.53,0.44,98.68,1.49,1.53,1.52,98.40,99.18
0.1673,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.52,0.44,98.68,0.88,0.45,0.44,98.40,99.18
0.1741,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.52,0.44,98.68,0.90,0.41,0.37,98.40,99.19
0.1812,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.51,0.44,98.68,1.06,0.63,0.63,98.40,99.18
0.1881,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.51,0.44,98.68,1.02,0.54,0.55,98.40,99.18
0.1950,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.50,0.44,98.68,1.01,0.51,0.50,98.40,99.18
0.2018,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.49,0.44,98.68,0.98,0.45,0.41,98.40,99.18
0.2087,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.49,0.44,98.68,1.00,0.47,0.43,98.40,99.19
0.2156,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.48,0.44,98.68,1.03,0.51,0.48,98.40,99.19
0.2227,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.47,0.44,98.68,1.15,0.67,0.68,98.40,99.18
0.2296,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.47,0.43,98.68,1.07,0.52,0.51,98.40,99.18
0.2368,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.46,0.43,98.68,1.12,0.58,0.58,98.40,99.18
0.2443,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.45,0.43,98.67,1.37,0.96,1.02,98.40,99.18
0.2515,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.44,0.43,98.67,1.08,0.46,0.45,98.40,99.18
0.2582,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.44,0.43,98.68,1.15,0.72,0.59,98.40,99.19
0.2651,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.43,0.43,98.68,1.10,0.57,0.50,98.41,99.19
0.2722,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.42,0.43,98.68,1.15,0.54,0.49,98.41,99.19
0.2793,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.42,0.43,98.68,1.24,0.67,0.66,98.41,99.19
0.2862,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.41,0.43,98.68,1.19,0.57,0.54,98.41,99.19
0.2931,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.40,0.43,98.68,1.17,0.51,0.43,98.41,99.19
0.2999,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.39,0.43,98.68,1.18,0.52,0.43,98.41,99.19
0.3068,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.39,0.43,98.68,1.19,0.53,0.45,98.41,99.19
0.3140,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.38,0.43,98.68,1.33,0.74,0.73,98.41,99.19
0.3212,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.37,0.43,98.68,1.22,0.60,0.63,98.40,99.19
0.3282,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.36,0.42,98.68,1.21,0.51,0.42,98.41,99.19
0.3374,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.35,0.42,98.66,2.39,2.24,2.39,98.39,99.17
0.3442,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.34,0.42,98.67,1.35,0.66,0.35,98.39,99.18
0.3508,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.34,0.42,98.68,1.72,1.58,1.48,98.41,99.19
0.3583,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.33,0.42,98.69,1.20,0.61,0.59,98.41,99.19
0.3657,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.32,0.42,98.68,1.29,0.65,0.67,98.41,99.19
0.3730,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.31,0.42,98.68,1.35,0.74,0.82,98.41,99.19
0.3806,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.30,0.42,98.68,1.25,0.71,0.88,98.40,99.18
0.3875,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.30,0.42,98.68,1.21,0.58,0.52,98.41,99.19
0.3942,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.29,0.42,98.69,1.28,0.82,0.80,98.41,99.19
0.4009,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.28,0.42,98.69,1.21,0.63,0.66,98.41,99.20
0.4079,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.28,0.42,98.69,1.23,0.52,0.58,98.41,99.20
0.4153,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.27,0.42,98.69,1.53,1.03,1.13,98.41,99.19
0.4224,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.26,0.42,98.68,1.23,0.62,0.81,98.41,99.19
0.4296,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.25,0.42,98.68,1.25,0.56,0.68,98.41,99.19
0.4367,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.25,0.42,98.68,1.20,0.48,0.56,98.41,99.19
0.4436,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.24,0.42,98.69,1.19,0.49,0.54,98.41,99.19
0.4502,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.23,0.42,98.69,1.24,0.71,0.72,98.41,99.20
0.4577,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.23,0.42,98.69,1.37,0.77,0.86,98.41,99.19
0.4644,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.22,0.42,98.69,1.19,0.42,0.53,98.41,99.20
0.4711,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.21,0.42,98.69,1.21,0.58,0.60,98.42,99.20
0.4779,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.21,0.42,98.70,1.21,0.48,0.55,98.42,99.20
0.4846,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.20,0.42,98.70,1.24,0.51,0.60,98.42,99.20
0.4912,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.19,0.42,98.70,1.23,0.48,0.55,98.42,99.20
0.4977,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.19,0.42,98.70,1.23,0.48,0.55,98.42,99.20
0.5045,Jump,1,850.00,0.00,90.00,0.00,0.00,470.00,0.00,0.00,850.18,0.42,98.70,1.30,0.59,0.67,98.42,99.20
0.9045,Idle,1,850.00,0.00,104.50,0.00,0.00,435.15,0.00,0.00,850.11,0.17,98.10,14.64,5.59,14.17,98.91,98.51
1.2324,Idle,1,850.00,0.00,117.85,0.00,0.00,400.47,0.00,0.00,850.03,0.13,98.84,20.56,14.67,11.08,98.47,99.37
1.5551,Idle,0,850.00,0.00,130.05,0.00,0.00,365.96,0.00,0.00,849.91,0.08,100.56,50.39,47.59,44.64,100.22,100.98
1.8752,Idle,0,850.00,0.00,141.11,0.00,0.00,331.63,0.00,0.00,849.81,-0.12,103.27,80.33,78.88,76.98,103.02,103.67
2.1936,Idle,0,850.00,0.00,151.02,0.00,0.00,297.47,0.00,0.00,849.74,-0.41,106.96,109.65,109.21,108.05,106.81,107.43
2.5186,Walk,0,851.29,0.00,159.80,38.63,0.00,263.48,0.00,0.00,849.68,-0.74,111.59,138.07,138.40,137.81,111.42,112.08
2.8466,Jump,0,853.76,0.00,167.46,74.20,0.00,229.66,0.00,0.00,849.43,-1.10,117.20,168.47,142.51,223.84,117.49,117.73
3.1849,Jump,0,857.33,0.00,173.99,106.95,0.00,196.00,0.00,0.00,849.48,-1.35,123.67,190.61,209.99,222.99,124.02,124.17
3.5288,Jump,0,861.90,0.00,179.41,137.10,0.00,162.52,0.00,0.00,849.80,-2.00,131.19,247.23,293.43,296.05,131.38,131.91
3.8662,Jump,0,867.39,0.00,183.72,164.86,0.00,129.21,0.00,0.00,850.67,-2.14,139.59,246.59,248.94,244.38,139.21,139.98
4.2127,Jump,0,873.74,0.00,186.92,190.42,0.00,96.06,0.00,0.00,852.16,-1.64,148.85,293.09,263.94,242.03,148.51,149.18
4.5502,Jump,0,880.87,0.00,189.02,213.96,0.00,63.07,0.00,0.00,854.62,-1.03,158.58,311.87,285.09,264.06,158.30,159.00
4.9357,Jump,0,888.73,0.00,190.03,235.62,0.00,30.25,0.00,0.00,858.39,-0.49,168.55,337.30,307.84,294.61,168.27,169.00
5.3196,Jump,0,897.24,0.00,189.95,255.57,0.00,-2.40,0.00,0.00,863.84,-0.06,178.19,363.54,327.64,321.05,177.88,178.66
5.6825,Jump,0,906.38,0.00,188.79,273.94,0.00,-34.89,0.00,0.00,871.34,0.31,186.74,383.94,343.29,342.34,186.39,187.21
6.0536,Jump,0,914.78,0.00,186.55,252.22,0.00,-67.22,0.00,0.00,880.97,0.62,193.44,392.70,358.55,362.25,193.05,193.90
6.4245,Jump,0,922.52,0.00,183.23,232.22,0.00,-99.39,0.00,0.00,892.55,0.85,197.79,388.75,376.22,382.41,197.37,198.25
6.8132,Jump,0,929.65,0.00,178.85,213.81,0.00,-131.40,0.00,0.00,905.54,0.94,199.59,373.60,392.92,399.15,199.17,200.07
7.1886,Jump,0,936.21,0.00,173.41,196.85,0.00,-163.24,0.00,0.00,919.24,0.87,198.76,355.81,404.33,409.10,198.38,199.26
7.5745,Jump,0,942.25,0.00,166.91,181.24,0.00,-194.93,0.00,0.00,932.89,0.68,195.25,342.03,408.79,412.03,194.96,195.77
7.9633,Jump,0,947.82,0.00,159.37,166.87,0.00,-226.46,0.00,0.00,945.72,0.46,189.10,335.91,407.09,409.33,188.90,189.62
8.3477,Jump,0,952.94,0.00,150.77,153.64,0.00,-257.83,0.00,0.00,957.03,0.29,180.49,338.16,401.68,403.43,180.32,180.99
