t,state,grounded,bean_x,bean_y,bean_z,bean_vx,bean_vy,bean_vz,bean_pitch,bean_roll,pelvis_x,pelvis_y,pelvis_z,pelvis_speed,foot_l_speed,foot_r_speed,hand_r_z,head_z
0.0074,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.01,0.48,98.80,0.39,0.37,0.53,98.51,99.30
0.0157,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.02,0.48,98.79,1.54,1.54,1.73,98.50,99.29
0.0244,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.02,0.47,98.77,1.51,1.69,2.08,98.49,99.28
0.0320,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.02,0.47,98.77,0.59,0.23,0.36,98.49,99.28
0.0400,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.02,0.47,98.78,0.65,0.30,0.33,98.50,99.29
0.0474,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.02,0.47,98.79,0.75,0.71,0.61,98.50,99.29
0.0547,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.02,0.47,98.79,0.65,0.61,0.59,98.51,99.30
0.0626,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.02,0.47,98.79,0.78,0.43,0.58,98.51,99.30
0.0698,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.02,0.47,98.79,0.60,0.29,0.40,98.51,99.30
0.0774,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.02,0.47,98.79,0.72,0.43,0.57,98.51,99.30
0.0848,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.01,0.47,98.79,0.71,0.42,0.57,98.51,99.30
0.0932,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.01,0.47,98.78,1.51,1.30,1.48,98.50,99.29
0.1005,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.01,0.47,98.78,0.78,0.37,0.27,98.50,99.29
0.1093,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.01,0.47,98.78,1.38,0.97,1.13,98.50,99.28
0.1185,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.00,0.47,98.76,1.70,1.43,1.74,98.48,99.27
0.1256,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.00,0.47,98.78,1.51,1.35,1.03,98.49,99.28
0.1326,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.99,0.47,98.79,1.77,1.88,1.82,98.51,99.30
0.1421,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.99,0.46,98.78,1.91,1.40,1.43,98.50,99.29
0.1500,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.98,0.46,98.78,1.31,0.70,0.71,98.50,99.28
0.1577,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.98,0.46,98.78,1.23,0.65,0.37,98.50,99.29
0.1655,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.97,0.46,98.78,1.19,0.60,0.36,98.50,99.29
0.1733,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.97,0.46,98.79,1.19,0.60,0.40,98.50,99.29
0.1808,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.96,0.46,98.79,1.10,0.65,0.37,98.51,99.30
0.1881,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.95,0.46,98.79,1.02,0.66,0.40,98.51,99.30
0.1958,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.95,0.46,98.79,1.09,0.69,0.51,98.51,99.30
0.2045,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.94,0.45,98.78,1.99,1.71,1.77,98.50,99.29
0.2119,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.93,0.45,98.78,1.17,0.74,0.31,98.50,99.29
0.2193,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.92,0.45,98.79,1.17,0.93,0.66,98.50,99.29
0.2272,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.91,0.45,98.79,1.18,0.71,0.47,98.50,99.29
0.2346,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.91,0.45,98.79,1.10,0.73,0.39,98.51,99.30
0.2418,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.90,0.45,98.79,1.03,0.77,0.44,98.51,99.30
0.2498,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.89,0.45,98.79,1.31,0.97,0.82,98.51,99.30
0.2574,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.88,0.45,98.79,1.14,0.83,0.64,98.50,99.29
0.2649,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.87,0.44,98.79,1.11,0.75,0.41,98.51,99.30
0.2726,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.86,0.44,98.79,1.19,0.81,0.55,98.51,99.30
0.2808,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.85,0.44,98.78,1.56,1.19,1.10,98.50,99.29
0.2893,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.84,0.44,98.78,1.59,1.27,1.30,98.49,99.28
0.2975,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.83,0.44,98.77,1.57,0.95,0.80,98.49,99.28
0.3052,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.82,0.44,98.78,1.46,0.94,0.50,98.50,99.29
0.3130,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.81,0.43,98.79,1.43,0.88,0.50,98.50,99.29
0.3205,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.80,0.43,98.79,1.39,0.96,0.60,98.51,99.30
0.3278,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.79,0.43,98.80,1.30,0.92,0.58,98.51,99.30
0.3354,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.78,0.43,98.80,1.32,0.83,0.50,98.51,99.30
0.3434,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.77,0.43,98.79,1.66,1.23,1.13,98.50,99.30
0.3534,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.76,0.43,98.76,2.63,2.57,2.81,98.48,99.27
0.3608,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.75,0.43,98.77,1.58,0.97,0.40,98.49,99.28
0.3686,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.74,0.42,98.78,1.66,1.27,1.01,98.50,99.29
0.3765,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.73,0.42,98.79,1.47,0.93,0.67,98.50,99.29
0.3843,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.72,0.42,98.79,1.39,0.74,0.42,98.51,99.30
0.3916,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.71,0.42,98.79,1.30,0.78,0.48,98.51,99.30
0.3989,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.71,0.42,98.80,1.22,0.70,0.43,98.51,99.30
0.4070,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.70,0.42,98.79,1.52,1.04,0.98,98.51,99.30
0.4146,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.69,0.42,98.79,1.23,0.72,0.62,98.50,99.30
0.4221,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.68,0.42,98.79,1.19,0.64,0.45,98.51,99.30
0.4298,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.67,0.42,98.79,1.21,0.65,0.54,98.51,99.30
0.4374,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.66,0.42,98.79,1.17,0.63,0.50,98.51,99.30
0.4454,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.65,0.42,98.79,1.39,0.89,0.90,98.50,99.30
0.4531,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.65,0.41,98.79,1.18,0.61,0.58,98.50,99.29
