t,state,grounded,bean_x,bean_y,bean_z,bean_vx,bean_vy,bean_vz,bean_pitch,bean_roll,pelvis_x,pelvis_y,pelvis_z,pelvis_speed,foot_l_speed,foot_r_speed,hand_r_z,head_z
0.0070,Jump,0,848.17,-0.41,195.87,0.05,0.83,-2.23,0.00,0.00,902.04,-29.17,149.10,1.71,2.64,2.43,148.69,149.46
0.0142,Jump,0,848.17,-0.40,195.86,0.07,0.85,-2.29,0.00,0.00,902.04,-29.17,149.09,1.75,2.68,2.51,148.68,149.46
0.0231,Jump,0,848.17,-0.39,195.84,0.09,0.87,-2.63,0.00,0.00,902.05,-29.18,149.09,2.02,3.02,2.91,148.68,149.46
0.0304,Jump,0,848.17,-0.39,195.83,0.10,0.89,-2.44,0.00,0.00,902.06,-29.18,149.09,1.87,2.96,2.67,148.68,149.46
0.0371,Jump,0,848.17,-0.38,195.81,0.11,0.90,-2.27,0.00,0.00,902.06,-29.18,149.09,1.73,2.73,2.43,148.68,149.46
0.0440,Jump,0,848.17,-0.37,195.80,0.11,0.92,-2.21,0.00,0.00,902.07,-29.19,149.09,1.68,2.60,2.39,148.68,149.46
0.0506,Jump,0,848.17,-0.37,195.79,0.12,0.93,-2.15,0.00,0.00,902.07,-29.19,149.09,1.64,2.55,2.37,148.68,149.45
0.0574,Jump,0,848.17,-0.36,195.78,0.12,0.93,-2.15,0.00,0.00,902.08,-29.20,149.09,1.64,2.54,2.36,148.67,149.45
0.0636,Jump,0,848.18,-0.35,195.77,0.13,0.94,-2.05,0.00,0.00,902.08,-29.20,149.09,1.57,2.46,2.24,148.67,149.45
0.0703,Jump,0,848.18,-0.35,195.76,0.13,0.95,-2.10,0.00,0.00,902.09,-29.20,149.09,1.60,2.46,2.30,148.67,149.45
0.0784,Jump,0,848.18,-0.34,195.75,0.12,0.95,-2.41,0.00,0.00,902.10,-29.21,149.08,1.85,2.77,2.68,148.67,149.45
0.0849,Jump,0,848.18,-0.33,195.74,0.12,0.95,-2.20,0.00,0.00,902.10,-29.21,149.08,1.68,2.69,2.41,148.67,149.45
0.0916,Jump,0,848.18,-0.33,195.73,0.12,0.95,-2.17,0.00,0.00,902.11,-29.21,149.08,1.66,2.57,2.34,148.66,149.45
0.0980,Jump,0,848.18,-0.32,195.72,0.11,0.94,-2.10,0.00,0.00,902.11,-29.22,149.08,1.60,2.49,2.29,148.66,149.45
0.1047,Jump,0,848.18,-0.32,195.71,0.10,0.94,-2.11,0.00,0.00,902.12,-29.22,149.08,1.62,2.49,2.33,148.66,149.45
0.1116,Jump,0,848.18,-0.31,195.70,0.09,0.93,-2.17,0.00,0.00,902.12,-29.22,149.08,1.66,2.55,2.39,148.66,149.45
0.1183,Jump,0,848.18,-0.30,195.69,0.08,0.92,-2.16,0.00,0.00,902.13,-29.23,149.08,1.65,2.56,2.37,148.66,149.44
0.1252,Jump,0,848.18,-0.30,195.68,0.07,0.91,-2.18,0.00,0.00,902.13,-29.23,149.08,1.67,2.58,2.40,148.65,149.44
0.1322,Jump,0,848.18,-0.29,195.66,0.06,0.90,-2.21,0.00,0.00,902.14,-29.23,149.08,1.69,2.61,2.43,148.65,149.44
0.1390,Jump,0,848.18,-0.28,195.65,0.04,0.89,-2.19,0.00,0.00,902.14,-29.24,149.08,1.68,2.61,2.41,148.65,149.44
0.1470,Jump,0,848.18,-0.28,195.64,0.02,0.87,-2.41,0.00,0.00,902.15,-29.24,149.07,1.85,2.80,2.67,148.65,149.44
0.1537,Jump,0,848.18,-0.27,195.63,0.01,0.85,-2.24,0.00,0.00,902.16,-29.25,149.07,1.72,2.72,2.46,148.64,149.44
0.1604,Jump,0,848.18,-0.27,195.62,-0.01,0.83,-2.19,0.00,0.00,902.16,-29.25,149.07,1.67,2.60,2.37,148.64,149.44
0.1676,Jump,0,848.18,-0.26,195.61,-0.03,0.81,-2.26,0.00,0.00,902.17,-29.25,149.07,1.73,2.65,2.49,148.64,149.44
0.1744,Jump,0,848.18,-0.26,195.60,-0.05,0.79,-2.20,0.00,0.00,902.17,-29.26,149.07,1.69,2.64,2.43,148.64,149.44
0.1810,Jump,0,848.18,-0.25,195.59,-0.07,0.77,-2.14,0.00,0.00,902.18,-29.26,149.07,1.63,2.56,2.34,148.63,149.43
0.1880,Jump,0,848.18,-0.24,195.57,-0.10,0.75,-2.21,0.00,0.00,902.19,-29.26,149.07,1.69,2.60,2.43,148.63,149.43
0.1946,Jump,0,848.18,-0.24,195.56,-0.12,0.72,-2.15,0.00,0.00,902.19,-29.27,149.07,1.64,2.57,2.37,148.63,149.43
0.2016,Jump,0,848.18,-0.24,195.55,-0.15,0.70,-2.18,0.00,0.00,902.20,-29.27,149.07,1.68,2.58,2.40,148.62,149.43
0.2083,Jump,0,848.18,-0.23,195.54,-0.17,0.67,-2.16,0.00,0.00,902.20,-29.27,149.07,1.65,2.60,2.39,148.62,149.43
0.2150,Jump,0,848.18,-0.23,195.53,-0.19,0.64,-2.17,0.00,0.00,902.21,-29.28,149.06,1.67,2.62,2.42,148.62,149.43
0.2221,Jump,0,848.18,-0.22,195.52,-0.22,0.62,-2.24,0.00,0.00,902.21,-29.28,149.06,1.71,2.66,2.49,148.62,149.43
0.2290,Jump,0,848.17,-0.22,195.51,-0.25,0.59,-2.21,0.00,0.00,902.22,-29.29,149.06,1.69,2.65,2.45,148.61,149.43
0.2363,Jump,0,848.17,-0.21,195.50,-0.28,0.56,-2.30,0.00,0.00,902.22,-29.29,149.06,1.76,2.71,2.54,148.61,149.43
0.2432,Jump,0,848.17,-0.21,195.49,-0.30,0.53,-2.25,0.00,0.00,902.23,-29.29,149.06,1.72,2.69,2.47,148.61,149.43
0.2504,Jump,0,848.17,-0.21,195.47,-0.33,0.50,-2.28,0.00,0.00,902.24,-29.30,149.06,1.74,2.70,2.50,148.60,149.43
0.2574,Jump,0,848.16,-0.20,195.46,-0.36,0.47,-2.26,0.00,0.00,902.24,-29.30,149.06,1.73,2.69,2.49,148.60,149.42
0.2656,Jump,0,848.16,-0.20,195.45,-0.39,0.43,-2.49,0.00,0.00,902.25,-29.31,149.06,1.92,2.90,2.77,148.60,149.42
0.2723,Jump,0,848.16,-0.20,195.44,-0.42,0.40,-2.28,0.00,0.00,902.25,-29.31,149.06,1.74,2.79,2.50,148.59,149.42
0.2795,Jump,0,848.16,-0.19,195.42,-0.45,0.37,-2.32,0.00,0.00,902.26,-29.31,149.06,1.77,2.73,2.53,148.59,149.42
0.2869,Jump,0,848.15,-0.19,195.41,-0.48,0.34,-2.34,0.00,0.00,902.27,-29.32,149.05,1.79,2.76,2.58,148.59,149.42
0.2944,Jump,0,848.15,-0.19,195.40,-0.51,0.31,-2.40,0.00,0.00,902.27,-29.32,149.05,1.84,2.83,2.65,148.59,149.42
0.3018,Jump,0,848.14,-0.19,195.39,-0.54,0.27,-2.39,0.00,0.00,902.28,-29.33,149.05,1.83,2.84,2.63,148.58,149.42
0.3092,Jump,0,848.14,-0.19,195.37,-0.57,0.24,-2.40,0.00,0.00,902.29,-29.33,149.05,1.83,2.84,2.63,148.58,149.42
0.3165,Jump,0,848.13,-0.18,195.36,-0.60,0.21,-2.36,0.00,0.00,902.29,-29.33,149.05,1.81,2.82,2.60,148.58,149.42
0.3239,Jump,0,848.13,-0.18,195.35,-0.63,0.18,-2.39,0.00,0.00,902.30,-29.34,149.05,1.83,2.83,2.63,148.57,149.41
0.3314,Jump,0,848.13,-0.18,195.33,-0.66,0.15,-2.40,0.00,0.00,902.31,-29.34,149.05,1.84,2.85,2.65,148.57,149.41
0.3390,Jump,0,848.12,-0.18,195.32,-0.68,0.12,-2.43,0.00,0.00,902.31,-29.35,149.05,1.86,2.88,2.68,148.57,149.41
0.3465,Jump,0,848.11,-0.18,195.31,-0.71,0.09,-2.44,0.00,0.00,902.32,-29.35,149.05,1.87,2.90,2.68,148.56,149.41
0.3533,Jump,0,848.11,-0.18,195.30,-0.73,0.07,-2.30,0.00,0.00,902.33,-29.35,149.04,1.75,2.77,2.51,148.56,149.41
0.3604,Jump,0,848.10,-0.18,195.28,-0.76,0.04,-2.30,0.00,0.00,902.33,-29.36,149.04,1.76,2.72,2.52,148.56,149.41
0.3673,Jump,0,848.10,-0.18,195.27,-0.78,0.02,-2.25,0.00,0.00,902.34,-29.36,149.04,1.71,2.68,2.48,148.56,149.41
0.3746,Jump,0,848.09,-0.18,195.26,-0.80,-0.00,-2.32,0.00,0.00,902.34,-29.37,149.04,1.77,2.73,2.56,148.55,149.41
0.3814,Jump,0,848.09,-0.18,195.25,-0.82,-0.03,-2.27,0.00,0.00,902.35,-29.37,149.04,1.73,2.71,2.50,148.55,149.41
