t,state,grounded,bean_x,bean_y,bean_z,bean_vx,bean_vy,bean_vz,bean_pitch,bean_roll,pelvis_x,pelvis_y,pelvis_z,pelvis_speed,foot_l_speed,foot_r_speed,hand_r_z,head_z
0.0096,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,862.34,-12.62,1.52,2.49,3.42,3.49,1.22,1.97
0.0200,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,862.31,-12.61,1.51,3.05,3.47,3.46,1.20,1.96
0.0325,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,862.21,-12.54,1.47,5.20,3.99,3.97,1.16,1.92
0.0434,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,862.13,-12.49,1.46,4.97,4.01,3.93,1.15,1.90
0.0522,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,862.10,-12.47,1.47,3.94,4.58,4.65,1.17,1.93
0.0617,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,862.07,-12.46,1.49,3.26,3.92,4.00,1.18,1.94
0.0706,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,862.05,-12.46,1.50,2.44,3.73,3.68,1.19,1.95
0.0818,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,862.01,-12.45,1.48,3.66,3.79,3.66,1.16,1.92
0.0911,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,862.00,-12.45,1.48,2.67,3.84,3.66,1.17,1.93
0.1000,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,862.00,-12.46,1.48,2.04,3.64,3.54,1.18,1.94
0.1093,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,862.00,-12.48,1.49,1.74,3.42,3.21,1.18,1.94
0.1182,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,862.02,-12.51,1.50,1.41,3.41,3.23,1.19,1.95
0.1273,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,862.04,-12.54,1.50,1.27,3.28,3.05,1.19,1.96
0.1374,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,862.04,-12.55,1.50,2.11,3.42,3.23,1.19,1.95
0.1465,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,862.06,-12.57,1.50,1.47,3.28,3.01,1.19,1.95
0.1556,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,862.07,-12.59,1.51,1.32,3.10,2.86,1.20,1.96
0.1646,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,862.09,-12.62,1.52,1.11,2.91,2.59,1.21,1.97
