t,state,grounded,bean_x,bean_y,bean_z,bean_vx,bean_vy,bean_vz,bean_pitch,bean_roll,pelvis_x,pelvis_y,pelvis_z,pelvis_speed,foot_l_speed,foot_r_speed,hand_r_z,head_z,bean_yaw,pelvis_yaw,pelvis_pitch
0.0069,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,863.30,-11.68,66.11,575.44,860.05,806.82,-149.95,112.91,0.00,2.66,-0.11
0.0171,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,859.86,-4.24,66.81,552.67,868.60,802.08,254.74,116.85,0.00,2.65,-0.11
0.0248,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,857.26,1.36,67.44,537.46,874.12,794.59,-134.01,115.31,0.00,2.63,-0.11
0.0314,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,855.03,6.17,67.96,523.68,872.52,781.48,168.98,118.27,0.00,2.62,-0.11
0.0381,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,852.79,11.00,68.59,510.86,872.68,768.75,-32.64,118.17,0.00,2.60,-0.10
0.0444,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.68,15.55,69.15,495.68,869.11,752.98,118.69,118.95,0.00,2.59,-0.10
0.0508,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,848.58,20.07,69.80,482.48,866.56,738.60,15.19,119.40,0.00,2.57,-0.10
0.0576,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,846.32,24.88,70.42,462.91,859.94,720.90,166.38,119.19,0.00,2.55,-0.09
0.0645,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,844.06,29.69,71.10,446.07,854.98,704.14,-69.39,118.55,0.00,2.53,-0.09
0.0713,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,841.86,34.34,71.72,427.88,846.88,685.02,204.86,121.45,0.00,2.50,-0.09
0.0776,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,839.82,38.65,72.33,413.73,839.87,667.15,-166.51,119.26,0.00,2.48,-0.08
0.0843,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,837.67,43.14,72.92,394.32,829.08,647.19,320.60,123.64,0.00,2.46,-0.08
0.0907,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,835.67,47.32,73.52,379.71,821.14,628.77,-180.83,120.45,0.00,2.43,-0.08
0.0973,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,833.58,51.61,74.07,360.34,808.68,607.96,296.05,123.89,0.00,2.41,-0.07
0.1039,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,831.54,55.80,74.66,344.05,798.73,588.80,-174.86,121.36,0.00,2.38,-0.07
0.1096,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,829.81,59.33,75.11,330.14,787.06,567.65,203.36,125.77,0.00,2.35,-0.06
0.1162,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,827.85,63.32,75.71,314.68,775.30,549.97,-132.09,125.08,0.00,2.32,-0.06
0.1221,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,826.09,66.83,76.17,297.48,762.56,528.31,251.66,127.40,0.00,2.30,-0.06
0.1290,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,824.11,70.81,76.83,281.66,749.54,511.62,-59.04,125.99,0.00,2.26,-0.05
0.1351,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,822.35,74.25,77.28,262.24,733.94,487.38,159.62,126.88,0.00,2.23,-0.05
0.1418,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,820.49,77.87,77.85,246.28,718.39,468.06,-2.54,127.36,0.00,2.20,-0.04
0.1487,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,818.62,81.43,78.26,223.11,699.40,440.64,219.26,125.76,0.00,2.16,-0.04
0.1551,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,816.91,84.63,78.67,208.28,683.45,417.04,-128.84,125.16,0.00,2.13,-0.03
0.1611,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,815.34,87.54,78.97,192.00,666.01,391.66,176.30,129.38,0.00,2.09,-0.03
