t,state,grounded,bean_x,bean_y,bean_z,bean_vx,bean_vy,bean_vz,bean_pitch,bean_roll,pelvis_x,pelvis_y,pelvis_z,pelvis_speed,foot_l_speed,foot_r_speed,hand_r_z,head_z,bean_yaw,pelvis_yaw,pelvis_pitch
0.0159,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.49,0.55,98.43,1.49,1.83,1.76,98.21,98.99,0.00,2.47,-0.09
0.0325,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.49,0.55,98.45,0.48,0.76,0.93,98.23,99.01,0.00,2.43,-0.10
0.0498,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.48,0.56,98.44,1.26,1.22,1.45,98.22,99.00,0.00,2.37,-0.10
0.0665,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.48,0.56,98.43,1.03,0.95,1.25,98.21,98.99,0.00,2.32,-0.10
0.0842,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.47,0.56,98.41,1.76,1.77,2.09,98.19,98.97,0.00,2.25,-0.10
0.1002,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.46,0.56,98.43,1.06,0.78,0.50,98.21,98.99,0.00,2.19,-0.10
0.1175,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.46,0.56,98.43,0.73,0.56,0.79,98.21,98.99,0.00,2.11,-0.10
0.1339,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.45,0.56,98.44,0.61,0.40,0.61,98.22,99.00,0.00,2.04,-0.10
0.1510,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.44,0.55,98.43,1.10,0.96,1.20,98.21,98.99,0.00,1.95,-0.11
0.1673,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.42,0.55,98.44,0.69,0.45,0.68,98.22,99.00,0.00,1.86,-0.11
0.1841,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.41,0.55,98.44,0.92,0.71,0.95,98.22,99.00,0.00,1.76,-0.11
0.2016,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.40,0.55,98.42,1.60,1.51,1.79,98.20,98.99,0.00,1.66,-0.11
0.2177,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.39,0.55,98.43,0.97,0.56,0.38,98.21,99.00,0.00,1.56,-0.12
0.2426,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.36,0.54,98.25,6.80,7.39,8.07,98.07,98.85,0.00,1.38,-0.12
0.2581,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.35,0.54,98.32,3.51,3.23,2.37,98.12,98.90,0.00,1.27,-0.12
0.2736,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.34,0.54,98.42,5.07,5.87,5.99,98.21,98.99,0.00,1.17,-0.13
