t,state,grounded,bean_x,bean_y,bean_z,bean_vx,bean_vy,bean_vz,bean_pitch,bean_roll,pelvis_x,pelvis_y,pelvis_z,pelvis_speed,foot_l_speed,foot_r_speed,hand_r_z,head_z,bean_yaw,pelvis_yaw,pelvis_pitch
0.0206,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.45,0.54,98.31,2.17,2.22,2.60,98.11,98.89,0.00,2.42,-0.11
0.0391,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.44,0.54,98.32,0.75,0.37,0.46,98.12,98.90,0.00,2.37,-0.11
0.0588,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.44,0.54,98.32,0.79,0.70,1.03,98.12,98.90,0.00,2.30,-0.11
0.0800,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.43,0.54,98.27,2.55,2.64,3.05,98.08,98.86,0.00,2.21,-0.11
0.0987,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.42,0.54,98.29,1.05,0.64,0.29,98.10,98.88,0.00,2.14,-0.12
0.1170,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.41,0.54,98.34,1.42,1.77,1.71,98.14,98.92,0.00,2.06,-0.12
0.1379,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.40,0.54,98.31,1.84,1.79,2.03,98.12,98.90,0.00,1.95,-0.12
0.1572,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.39,0.53,98.31,0.48,0.53,1.04,98.11,98.89,0.00,1.85,-0.12
0.1770,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.38,0.53,98.31,0.97,0.77,1.11,98.11,98.89,0.00,1.73,-0.12
0.1970,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.36,0.53,98.30,1.26,1.11,1.45,98.10,98.89,0.00,1.61,-0.13
0.2170,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.35,0.52,98.29,1.31,1.17,1.52,98.10,98.88,0.00,1.48,-0.13
0.2360,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.33,0.52,98.31,0.62,0.42,0.57,98.11,98.89,0.00,1.35,-0.13
0.2565,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.32,0.52,98.30,1.43,1.30,1.60,98.10,98.88,0.00,1.22,-0.13
0.2754,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.30,0.52,98.31,0.67,0.42,0.59,98.12,98.90,0.00,1.09,-0.14
0.2967,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.28,0.52,98.28,2.19,2.18,2.50,98.09,98.87,0.00,0.94,-0.14
0.3153,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.27,0.52,98.31,1.47,1.08,0.75,98.11,98.89,0.00,0.81,-0.14
0.3354,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.25,0.52,98.31,0.78,0.58,0.86,98.12,98.90,0.00,0.67,-0.14
0.3541,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.24,0.52,98.34,0.69,0.68,0.81,98.14,98.92,0.00,0.53,-0.15
0.3747,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.22,0.52,98.31,1.85,1.81,2.11,98.12,98.90,0.00,0.37,-0.15
0.3955,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.20,0.52,98.28,1.28,1.78,2.41,98.09,98.87,0.00,0.21,-0.15
0.4135,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.19,0.52,98.32,1.52,1.79,1.62,98.13,98.91,0.00,0.07,-0.16
0.4353,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.17,0.52,98.29,2.05,2.07,2.37,98.10,98.88,0.00,-0.09,-0.16
0.4537,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.16,0.52,98.32,1.45,1.12,0.92,98.12,98.90,0.00,-0.23,-0.16
0.4723,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.15,0.52,98.35,1.05,1.36,1.42,98.15,98.93,0.00,-0.36,-0.17
0.4936,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.13,0.52,98.32,2.28,2.34,2.63,98.12,98.90,0.00,-0.52,-0.16
