"timestamp","relative_seconds_to_impact","source_log_frame","state","cmc_movement_mode","capsule_world_location","capsule_velocity","pelvis_body_world_location","pelvis_body_linear_velocity","mesh_component_world_location","effective_pelvis_capsule_distance","impulse_magnitude_applied_at_impact","applied_velocity_change_magnitude_from_reaction_log","anchor_constraint_current_linear_force","anchor_constraint_violation_distance","anchor_world_location","effective_pelvis_world_location","source_sample_line","nearest_sync_line"
"2026-06-07 10:43:54.824","-0.402","4","Balanced","UNAVAILABLE_existing_debug_log_does_not_emit","V(X=850.00, Z=102.15)","UNAVAILABLE_existing_debug_log_does_not_emit","V(X=-33.79, Y=-7.97, Z=-54.77)","UNAVAILABLE_existing_debug_log_does_not_emit","V(X=850.00, Y=1.00, Z=30.15)","143.0","UNAVAILABLE_body_mass_not_emitted","","UNAVAILABLE_existing_debug_log_does_not_emit","143.0","V(X=850.00, Z=114.15)","V(X=816.21, Y=-6.97, Z=-24.62)","[2026.06.07-10.43.54:824][  4]LogT66HeroPhysics: Display: [HeroActiveRagdoll] Sample State=Balanced PoseMult=0.74 AnchorMult=1.00 PelvisSimulating=1 PelvisCapsuleDist=143.0 RawPelvisDist=899.8 ComponentSpacePelvisDist=143.0 ComponentBonePelvisDist=899.8 Anchor=V(X=850.00, Z=114.15) EffectivePelvis=V(X=816.21, Y=-6.97, Z=-24.62) BodyRaw=V(X=-33.79, Y=-7.97, Z=-54.77) BoneRaw=V(X=-33.79, Y=-7.97, Z=-54.77) MeshWorld=V(X=850.00, Y=1.00, Z=30.15) Parent=None Bodies=18 Mesh=SK_Hero_1_Chad_PhysicsFirst Delta=0.171","[2026.06.07-10.43.54:824][  4]LogT66HeroPhysics: Display: [HeroActiveRagdoll] MeshCapsuleAuthoritySync Reason=TickCapsuleAuthority WasAttached=0 PreviousParent=None Parent=None LocationDelta=103.8 RotationDeltaDeg=0.0 ScaleDelta=0.000 Hero=V(X=850.00, Z=102.15) MeshBefore=V(X=850.00, Y=1.00, Z=133.92) MeshAfter=V(X=850.00, Y=1.00, Z=30.15) Desired=V(X=850.00, Y=1.00, Z=30.15) Anchor=V(X=850.00, Z=114.15)"
"2026-06-07 10:43:54.885","-0.341","9","Balanced","UNAVAILABLE_existing_debug_log_does_not_emit","V(X=850.00, Z=102.15)","UNAVAILABLE_existing_debug_log_does_not_emit","V(X=-6.13, Y=-2.90, Z=-71.68)","UNAVAILABLE_existing_debug_log_does_not_emit","V(X=850.00, Y=1.00, Z=30.15)","155.8","UNAVAILABLE_body_mass_not_emitted","","UNAVAILABLE_existing_debug_log_does_not_emit","155.8","V(X=850.00, Z=114.15)","V(X=843.87, Y=-1.90, Z=-41.53)","[2026.06.07-10.43.54:885][  9]LogT66HeroPhysics: Display: [HeroActiveRagdoll] Sample State=Balanced PoseMult=0.74 AnchorMult=1.00 PelvisSimulating=1 PelvisCapsuleDist=155.8 RawPelvisDist=876.1 ComponentSpacePelvisDist=155.8 ComponentBonePelvisDist=876.1 Anchor=V(X=850.00, Z=114.15) EffectivePelvis=V(X=843.87, Y=-1.90, Z=-41.53) BodyRaw=V(X=-6.13, Y=-2.90, Z=-71.68) BoneRaw=V(X=-6.13, Y=-2.90, Z=-71.68) MeshWorld=V(X=850.00, Y=1.00, Z=30.15) Parent=None Bodies=18 Mesh=SK_Hero_1_Chad_PhysicsFirst Delta=0.013","[2026.06.07-10.43.54:824][  4]LogT66HeroPhysics: Display: [HeroActiveRagdoll] MeshCapsuleAuthoritySync Reason=TickCapsuleAuthority WasAttached=0 PreviousParent=None Parent=None LocationDelta=103.8 RotationDeltaDeg=0.0 ScaleDelta=0.000 Hero=V(X=850.00, Z=102.15) MeshBefore=V(X=850.00, Y=1.00, Z=133.92) MeshAfter=V(X=850.00, Y=1.00, Z=30.15) Desired=V(X=850.00, Y=1.00, Z=30.15) Anchor=V(X=850.00, Z=114.15)"
"2026-06-07 10:43:54.939","-0.287","13","Balanced","UNAVAILABLE_existing_debug_log_does_not_emit","V(X=850.00, Z=102.15)","UNAVAILABLE_existing_debug_log_does_not_emit","V(X=-2.00, Y=-0.65, Z=-71.97)","UNAVAILABLE_existing_debug_log_does_not_emit","V(X=850.00, Y=1.00, Z=30.15)","156.0","UNAVAILABLE_body_mass_not_emitted","","UNAVAILABLE_existing_debug_log_does_not_emit","156.0","V(X=850.00, Z=114.15)","V(X=848.00, Y=0.35, Z=-41.82)","[2026.06.07-10.43.54:939][ 13]LogT66HeroPhysics: Display: [HeroActiveRagdoll] Sample State=Balanced PoseMult=0.74 AnchorMult=1.00 PelvisSimulating=1 PelvisCapsuleDist=156.0 RawPelvisDist=872.1 ComponentSpacePelvisDist=156.0 ComponentBonePelvisDist=872.1 Anchor=V(X=850.00, Z=114.15) EffectivePelvis=V(X=848.00, Y=0.35, Z=-41.82) BodyRaw=V(X=-2.00, Y=-0.65, Z=-71.97) BoneRaw=V(X=-2.00, Y=-0.65, Z=-71.97) MeshWorld=V(X=850.00, Y=1.00, Z=30.15) Parent=None Bodies=18 Mesh=SK_Hero_1_Chad_PhysicsFirst Delta=0.013","[2026.06.07-10.43.54:824][  4]LogT66HeroPhysics: Display: [HeroActiveRagdoll] MeshCapsuleAuthoritySync Reason=TickCapsuleAuthority WasAttached=0 PreviousParent=None Parent=None LocationDelta=103.8 RotationDeltaDeg=0.0 ScaleDelta=0.000 Hero=V(X=850.00, Z=102.15) MeshBefore=V(X=850.00, Y=1.00, Z=133.92) MeshAfter=V(X=850.00, Y=1.00, Z=30.15) Desired=V(X=850.00, Y=1.00, Z=30.15) Anchor=V(X=850.00, Z=114.15)"
"2026-06-07 10:43:55.003","-0.223","17","Balanced","UNAVAILABLE_existing_debug_log_does_not_emit","V(X=850.00, Z=102.15)","UNAVAILABLE_existing_debug_log_does_not_emit","V(X=-0.57, Y=0.05, Z=-72.00)","UNAVAILABLE_existing_debug_log_does_not_emit","V(X=850.00, Y=1.00, Z=30.15)","156.0","UNAVAILABLE_body_mass_not_emitted","","UNAVAILABLE_existing_debug_log_does_not_emit","156.0","V(X=850.00, Z=114.15)","V(X=849.43, Y=1.05, Z=-41.85)","[2026.06.07-10.43.55:003][ 17]LogT66HeroPhysics: Display: [HeroActiveRagdoll] Sample State=Balanced PoseMult=0.74 AnchorMult=1.00 PelvisSimulating=1 PelvisCapsuleDist=156.0 RawPelvisDist=870.7 ComponentSpacePelvisDist=156.0 ComponentBonePelvisDist=870.7 Anchor=V(X=850.00, Z=114.15) EffectivePelvis=V(X=849.43, Y=1.05, Z=-41.85) BodyRaw=V(X=-0.57, Y=0.05, Z=-72.00) BoneRaw=V(X=-0.57, Y=0.05, Z=-72.00) MeshWorld=V(X=850.00, Y=1.00, Z=30.15) Parent=None Bodies=18 Mesh=SK_Hero_1_Chad_PhysicsFirst Delta=0.015","[2026.06.07-10.43.54:824][  4]LogT66HeroPhysics: Display: [HeroActiveRagdoll] MeshCapsuleAuthoritySync Reason=TickCapsuleAuthority WasAttached=0 PreviousParent=None Parent=None LocationDelta=103.8 RotationDeltaDeg=0.0 ScaleDelta=0.000 Hero=V(X=850.00, Z=102.15) MeshBefore=V(X=850.00, Y=1.00, Z=133.92) MeshAfter=V(X=850.00, Y=1.00, Z=30.15) Desired=V(X=850.00, Y=1.00, Z=30.15) Anchor=V(X=850.00, Z=114.15)"
"2026-06-07 10:43:55.059","-0.167","22","Balanced","UNAVAILABLE_existing_debug_log_does_not_emit","V(X=850.00, Z=102.15)","UNAVAILABLE_existing_debug_log_does_not_emit","V(X=-0.41, Y=-0.15, Z=-72.00)","UNAVAILABLE_existing_debug_log_does_not_emit","V(X=850.00, Y=1.00, Z=30.15)","156.0","UNAVAILABLE_body_mass_not_emitted","","UNAVAILABLE_existing_debug_log_does_not_emit","156.0","V(X=850.00, Z=114.15)","V(X=849.59, Y=0.85, Z=-41.85)","[2026.06.07-10.43.55:059][ 22]LogT66HeroPhysics: Display: [HeroActiveRagdoll] Sample State=Balanced PoseMult=0.74 AnchorMult=1.00 PelvisSimulating=1 PelvisCapsuleDist=156.0 RawPelvisDist=870.5 ComponentSpacePelvisDist=156.0 ComponentBonePelvisDist=870.5 Anchor=V(X=850.00, Z=114.15) EffectivePelvis=V(X=849.59, Y=0.85, Z=-41.85) BodyRaw=V(X=-0.41, Y=-0.15, Z=-72.00) BoneRaw=V(X=-0.41, Y=-0.15, Z=-72.00) MeshWorld=V(X=850.00, Y=1.00, Z=30.15) Parent=None Bodies=18 Mesh=SK_Hero_1_Chad_PhysicsFirst Delta=0.008","[2026.06.07-10.43.54:824][  4]LogT66HeroPhysics: Display: [HeroActiveRagdoll] MeshCapsuleAuthoritySync Reason=TickCapsuleAuthority WasAttached=0 PreviousParent=None Parent=None LocationDelta=103.8 RotationDeltaDeg=0.0 ScaleDelta=0.000 Hero=V(X=850.00, Z=102.15) MeshBefore=V(X=850.00, Y=1.00, Z=133.92) MeshAfter=V(X=850.00, Y=1.00, Z=30.15) Desired=V(X=850.00, Y=1.00, Z=30.15) Anchor=V(X=850.00, Z=114.15)"
"2026-06-07 10:43:55.119","-0.107","26","Balanced","UNAVAILABLE_existing_debug_log_does_not_emit","V(X=850.00, Z=102.15)","UNAVAILABLE_existing_debug_log_does_not_emit","V(X=-0.61, Y=-0.53, Z=-72.01)","UNAVAILABLE_existing_debug_log_does_not_emit","V(X=850.00, Y=1.00, Z=30.15)","156.0","UNAVAILABLE_body_mass_not_emitted","","UNAVAILABLE_existing_debug_log_does_not_emit","156.0","V(X=850.00, Z=114.15)","V(X=849.39, Y=0.47, Z=-41.86)","[2026.06.07-10.43.55:119][ 26]LogT66HeroPhysics: Display: [HeroActiveRagdoll] Sample State=Balanced PoseMult=0.74 AnchorMult=1.00 PelvisSimulating=1 PelvisCapsuleDist=156.0 RawPelvisDist=870.7 ComponentSpacePelvisDist=156.0 ComponentBonePelvisDist=870.7 Anchor=V(X=850.00, Z=114.15) EffectivePelvis=V(X=849.39, Y=0.47, Z=-41.86) BodyRaw=V(X=-0.61, Y=-0.53, Z=-72.01) BoneRaw=V(X=-0.61, Y=-0.53, Z=-72.01) MeshWorld=V(X=850.00, Y=1.00, Z=30.15) Parent=None Bodies=18 Mesh=SK_Hero_1_Chad_PhysicsFirst Delta=0.020","[2026.06.07-10.43.55:075][ 24]LogT66HeroPhysics: Display: [HeroActiveRagdoll] MeshCapsuleAuthoritySync Reason=TickCapsuleAuthority WasAttached=0 PreviousParent=None Parent=None LocationDelta=0.0 RotationDeltaDeg=0.0 ScaleDelta=0.000 Hero=V(X=850.00, Z=102.15) MeshBefore=V(X=850.00, Y=1.00, Z=30.15) MeshAfter=V(X=850.00, Y=1.00, Z=30.15) Desired=V(X=850.00, Y=1.00, Z=30.15) Anchor=V(X=850.00, Z=114.15)"
"2026-06-07 10:43:55.169","-0.057","32","Balanced","UNAVAILABLE_existing_debug_log_does_not_emit","V(X=850.00, Z=102.15)","UNAVAILABLE_existing_debug_log_does_not_emit","V(X=-0.92, Y=-0.93, Z=-71.99)","UNAVAILABLE_existing_debug_log_does_not_emit","V(X=850.00, Y=1.00, Z=30.15)","156.0","UNAVAILABLE_body_mass_not_emitted","6500.004","UNAVAILABLE_existing_debug_log_does_not_emit","156.0","V(X=850.00, Z=114.15)","V(X=849.08, Y=0.07, Z=-41.84)","[2026.06.07-10.43.55:169][ 32]LogT66HeroPhysics: Display: [HeroActiveRagdoll] Sample State=Balanced PoseMult=0.74 AnchorMult=1.00 PelvisSimulating=1 PelvisCapsuleDist=156.0 RawPelvisDist=871.0 ComponentSpacePelvisDist=156.0 ComponentBonePelvisDist=871.0 Anchor=V(X=850.00, Z=114.15) EffectivePelvis=V(X=849.08, Y=0.07, Z=-41.84) BodyRaw=V(X=-0.92, Y=-0.93, Z=-71.99) BoneRaw=V(X=-0.92, Y=-0.93, Z=-71.99) MeshWorld=V(X=850.00, Y=1.00, Z=30.15) Parent=None Bodies=18 Mesh=SK_Hero_1_Chad_PhysicsFirst Delta=0.009","[2026.06.07-10.43.55:075][ 24]LogT66HeroPhysics: Display: [HeroActiveRagdoll] MeshCapsuleAuthoritySync Reason=TickCapsuleAuthority WasAttached=0 PreviousParent=None Parent=None LocationDelta=0.0 RotationDeltaDeg=0.0 ScaleDelta=0.000 Hero=V(X=850.00, Z=102.15) MeshBefore=V(X=850.00, Y=1.00, Z=30.15) MeshAfter=V(X=850.00, Y=1.00, Z=30.15) Desired=V(X=850.00, Y=1.00, Z=30.15) Anchor=V(X=850.00, Z=114.15)"
"2026-06-07 10:43:55.223","-0.003","36","Balanced","UNAVAILABLE_existing_debug_log_does_not_emit","V(X=850.00, Z=102.15)","UNAVAILABLE_existing_debug_log_does_not_emit","V(X=-0.40, Y=0.26, Z=-72.00)","UNAVAILABLE_existing_debug_log_does_not_emit","V(X=850.00, Y=1.00, Z=30.15)","156.0","UNAVAILABLE_body_mass_not_emitted","6500.004","UNAVAILABLE_existing_debug_log_does_not_emit","156.0","V(X=850.00, Z=114.15)","V(X=849.60, Y=1.26, Z=-41.85)","[2026.06.07-10.43.55:223][ 36]LogT66HeroPhysics: Display: [HeroActiveRagdoll] Sample State=Balanced PoseMult=0.74 AnchorMult=1.00 PelvisSimulating=1 PelvisCapsuleDist=156.0 RawPelvisDist=870.5 ComponentSpacePelvisDist=156.0 ComponentBonePelvisDist=870.5 Anchor=V(X=850.00, Z=114.15) EffectivePelvis=V(X=849.60, Y=1.26, Z=-41.85) BodyRaw=V(X=-0.40, Y=0.26, Z=-72.00) BoneRaw=V(X=-0.40, Y=0.26, Z=-72.00) MeshWorld=V(X=850.00, Y=1.00, Z=30.15) Parent=None Bodies=18 Mesh=SK_Hero_1_Chad_PhysicsFirst Delta=0.030","[2026.06.07-10.43.55:075][ 24]LogT66HeroPhysics: Display: [HeroActiveRagdoll] MeshCapsuleAuthoritySync Reason=TickCapsuleAuthority WasAttached=0 PreviousParent=None Parent=None LocationDelta=0.0 RotationDeltaDeg=0.0 ScaleDelta=0.000 Hero=V(X=850.00, Z=102.15) MeshBefore=V(X=850.00, Y=1.00, Z=30.15) MeshAfter=V(X=850.00, Y=1.00, Z=30.15) Desired=V(X=850.00, Y=1.00, Z=30.15) Anchor=V(X=850.00, Z=114.15)"
"2026-06-07 10:43:55.277","0.051","40","KnockedDown","UNAVAILABLE_existing_debug_log_does_not_emit","V(X=850.00, Z=102.15)","UNAVAILABLE_existing_debug_log_does_not_emit","V(X=87.24, Y=18.52, Z=-68.92)","UNAVAILABLE_existing_debug_log_does_not_emit","V(X=937.50, Y=19.29, Z=33.23)","177.1","UNAVAILABLE_body_mass_not_emitted","6500.004","UNAVAILABLE_existing_debug_log_does_not_emit","177.1","V(X=937.50, Y=18.29, Z=117.23)","V(X=1024.73, Y=37.81, Z=-35.70)","[2026.06.07-10.43.55:277][ 40]LogT66HeroPhysics: Display: [HeroActiveRagdoll] Sample State=KnockedDown PoseMult=0.10 AnchorMult=0.18 PelvisSimulating=1 PelvisCapsuleDist=177.1 RawPelvisDist=870.4 ComponentSpacePelvisDist=177.1 ComponentBonePelvisDist=870.4 Anchor=V(X=937.50, Y=18.29, Z=117.23) EffectivePelvis=V(X=1024.73, Y=37.81, Z=-35.70) BodyRaw=V(X=87.24, Y=18.52, Z=-68.92) BoneRaw=V(X=87.24, Y=18.52, Z=-68.92) MeshWorld=V(X=937.50, Y=19.29, Z=33.23) Parent=None Bodies=18 Mesh=SK_Hero_1_Chad_PhysicsFirst Delta=0.014","[2026.06.07-10.43.55:075][ 24]LogT66HeroPhysics: Display: [HeroActiveRagdoll] MeshCapsuleAuthoritySync Reason=TickCapsuleAuthority WasAttached=0 PreviousParent=None Parent=None LocationDelta=0.0 RotationDeltaDeg=0.0 ScaleDelta=0.000 Hero=V(X=850.00, Z=102.15) MeshBefore=V(X=850.00, Y=1.00, Z=30.15) MeshAfter=V(X=850.00, Y=1.00, Z=30.15) Desired=V(X=850.00, Y=1.00, Z=30.15) Anchor=V(X=850.00, Z=114.15)"
"2026-06-07 10:43:55.331","0.105","42","KnockedDown","UNAVAILABLE_existing_debug_log_does_not_emit","V(X=964.00, Y=23.83, Z=102.15)","UNAVAILABLE_existing_debug_log_does_not_emit","V(X=113.74, Y=24.06, Z=-72.00)","UNAVAILABLE_existing_debug_log_does_not_emit","V(X=964.00, Y=24.83, Z=30.15)","194.7","UNAVAILABLE_body_mass_not_emitted","","UNAVAILABLE_existing_debug_log_does_not_emit","194.7","V(X=964.00, Y=23.83, Z=114.15)","V(X=1077.74, Y=48.88, Z=-41.85)","[2026.06.07-10.43.55:331][ 42]LogT66HeroPhysics: Display: [HeroActiveRagdoll] Sample State=KnockedDown PoseMult=0.10 AnchorMult=0.18 PelvisSimulating=1 PelvisCapsuleDist=194.7 RawPelvisDist=870.4 ComponentSpacePelvisDist=194.7 ComponentBonePelvisDist=870.4 Anchor=V(X=964.00, Y=23.83, Z=114.15) EffectivePelvis=V(X=1077.74, Y=48.88, Z=-41.85) BodyRaw=V(X=113.74, Y=24.06, Z=-72.00) BoneRaw=V(X=113.74, Y=24.06, Z=-72.00) MeshWorld=V(X=964.00, Y=24.83, Z=30.15) Parent=None Bodies=18 Mesh=SK_Hero_1_Chad_PhysicsFirst Delta=0.020","[2026.06.07-10.43.55:331][ 42]LogT66HeroPhysics: Display: [HeroActiveRagdoll] MeshCapsuleAuthoritySync Reason=TickCapsuleAuthority WasAttached=0 PreviousParent=None Parent=None LocationDelta=2.0 RotationDeltaDeg=0.0 ScaleDelta=0.000 Hero=V(X=964.00, Y=23.83, Z=102.15) MeshBefore=V(X=962.50, Y=24.51, Z=28.88) MeshAfter=V(X=964.00, Y=24.83, Z=30.15) Desired=V(X=964.00, Y=24.83, Z=30.15) Anchor=V(X=964.00, Y=23.83, Z=114.15)"
