"Scope","Target","Category","File","Bytes"
"Modals","CompanionGrid","Buttons","SourceAssets\UI\Reference\Modals\CompanionGrid\Buttons\companiongrid_buttons_pill_disabled.png","1033937"
"Modals","CompanionGrid","Panels","SourceAssets\UI\Reference\Modals\CompanionGrid\Panels\companiongrid_panels_inner_panel_normal.png","1925457"
"Modals","CompanionGrid","ScreenArt","SourceAssets\UI\Reference\Modals\CompanionGrid\ScreenArt\companiongrid_screen_art_mainmenu_main_menu_scene_plate_v1.png","2788630"
"Modals","HeroGrid","Panels","SourceAssets\UI\Reference\Modals\HeroGrid\Panels\herogrid_panels_inner_panel_normal.png","1925457"
"Modals","HeroGrid","ScreenArt","SourceAssets\UI\Reference\Modals\HeroGrid\ScreenArt\herogrid_screen_art_mainmenu_main_menu_scene_plate_v1.png","2788630"
"Modals","PartyInvite","Panels","SourceAssets\UI\Reference\Modals\PartyInvite\Panels\partyinvite_panels_inner_panel_normal.png","1925457"
"Modals","PauseMenu","Panels","SourceAssets\UI\Reference\Modals\PauseMenu\Panels\pausemenu_panels_inner_panel_normal.png","1925457"
"Modals","PlayerSummaryPicker","Panels","SourceAssets\UI\Reference\Modals\PlayerSummaryPicker\Panels\playersummarypicker_panels_inner_panel_normal.png","1925457"
"Modals","PlayerSummaryPicker","Slots","SourceAssets\UI\Reference\Modals\PlayerSummaryPicker\Slots\playersummarypicker_slots_reference_square_slot_frame_normal.png","1174905"
"Modals","QuitConfirmation","Panels","SourceAssets\UI\Reference\Modals\QuitConfirmation\Panels\quitconfirmation_panels_inner_panel_normal.png","1925457"
"Modals","SavePreview","Panels","SourceAssets\UI\Reference\Modals\SavePreview\Panels\savepreview_panels_inner_panel_normal.png","1925457"
"Modals","SavePreview","ScreenArt","SourceAssets\UI\Reference\Modals\SavePreview\ScreenArt\savepreview_screen_art_mainmenu_main_menu_scene_plate_v1.png","2788630"
"Screens","AccountStatus","Controls","SourceAssets\UI\Reference\Screens\AccountStatus\Controls\accountstatus_controls_controls_sheet.png","836862"
"Screens","AccountStatus","Controls","SourceAssets\UI\Reference\Screens\AccountStatus\Controls\accountstatus_controls_reference_dropdown_field_normal.png","1218937"
"Screens","AccountStatus","Icons","SourceAssets\UI\Reference\Screens\AccountStatus\Icons\accountstatus_iconsgenerated_icon_16_dropdown_chevron_v2.png","37751"
"Screens","AccountStatus","Panels","SourceAssets\UI\Reference\Screens\AccountStatus\Panels\accountstatus_panels_fullscreen_fullscreen_panel_wide.png","1534669"
"Screens","AccountStatus","Panels","SourceAssets\UI\Reference\Screens\AccountStatus\Panels\accountstatus_panels_fullscreen_row_shell_quiet.png","514164"
"Screens","AccountStatus","Slots","SourceAssets\UI\Reference\Screens\AccountStatus\Slots\accountstatus_slots_reference_square_slot_frame_normal.png","1174905"
