FRAME 01 density_active=0 density_minmax=(0.0, 0.0) temp_active=0 temp_minmax=(0.0, 0.0) vel_active=0 vel_minmax=((0.0, 0.0, 0.0), (0.0, 0.0, 0.0))
FRAME 02 density_active=0 density_minmax=(0.0, 0.0) temp_active=0 temp_minmax=(0.0, 0.0) vel_active=0 vel_minmax=((0.0, 0.0, 0.0), (0.0, 0.0, 0.0))
FRAME 03 density_active=0 density_minmax=(0.0, 0.0) temp_active=0 temp_minmax=(0.0, 0.0) vel_active=0 vel_minmax=((0.0, 0.0, 0.0), (0.0, 0.0, 0.0))
FRAME 04 density_active=0 density_minmax=(0.0, 0.0) temp_active=0 temp_minmax=(0.0, 0.0) vel_active=0 vel_minmax=((0.0, 0.0, 0.0), (0.0, 0.0, 0.0))
FRAME 05 density_active=0 density_minmax=(0.0, 0.0) temp_active=0 temp_minmax=(0.0, 0.0) vel_active=0 vel_minmax=((0.0, 0.0, 0.0), (0.0, 0.0, 0.0))
FRAME 06 density_active=0 density_minmax=(0.0, 0.0) temp_active=0 temp_minmax=(0.0, 0.0) vel_active=0 vel_minmax=((0.0, 0.0, 0.0), (0.0, 0.0, 0.0))
FRAME 07 density_active=0 density_minmax=(0.0, 0.0) temp_active=0 temp_minmax=(0.0, 0.0) vel_active=0 vel_minmax=((0.0, 0.0, 0.0), (0.0, 0.0, 0.0))
FRAME 08 density_active=0 density_minmax=(0.0, 0.0) temp_active=0 temp_minmax=(0.0, 0.0) vel_active=0 vel_minmax=((0.0, 0.0, 0.0), (0.0, 0.0, 0.0))
FRAME 09 density_active=0 density_minmax=(0.0, 0.0) temp_active=0 temp_minmax=(0.0, 0.0) vel_active=0 vel_minmax=((0.0, 0.0, 0.0), (0.0, 0.0, 0.0))
FRAME 10 density_active=0 density_minmax=(0.0, 0.0) temp_active=0 temp_minmax=(0.0, 0.0) vel_active=0 vel_minmax=((0.0, 0.0, 0.0), (0.0, 0.0, 0.0))
FRAME 11 density_active=0 density_minmax=(0.0, 0.0) temp_active=0 temp_minmax=(0.0, 0.0) vel_active=0 vel_minmax=((0.0, 0.0, 0.0), (0.0, 0.0, 0.0))
FRAME 12 density_active=0 density_minmax=(0.0, 0.0) temp_active=0 temp_minmax=(0.0, 0.0) vel_active=0 vel_minmax=((0.0, 0.0, 0.0), (0.0, 0.0, 0.0))
FRAME 13 density_active=0 density_minmax=(0.0, 0.0) temp_active=0 temp_minmax=(0.0, 0.0) vel_active=0 vel_minmax=((0.0, 0.0, 0.0), (0.0, 0.0, 0.0))
FRAME 14 density_active=0 density_minmax=(0.0, 0.0) temp_active=0 temp_minmax=(0.0, 0.0) vel_active=0 vel_minmax=((0.0, 0.0, 0.0), (0.0, 0.0, 0.0))
FRAME 15 density_active=0 density_minmax=(0.0, 0.0) temp_active=0 temp_minmax=(0.0, 0.0) vel_active=0 vel_minmax=((0.0, 0.0, 0.0), (0.0, 0.0, 0.0))
FRAME 16 density_active=0 density_minmax=(0.0, 0.0) temp_active=0 temp_minmax=(0.0, 0.0) vel_active=0 vel_minmax=((0.0, 0.0, 0.0), (0.0, 0.0, 0.0))
