"asset_id","display_name","category","source_kind","model_input_status","package_path","original_path","bytes","sha256","notes"
"char_lubu_male","Lu Bu Male","character","single_subject_png","model_ready","ModelReady\Characters\LuBu\Male\lubu_male_nephilim_shorts_hifigear_shading_v01.png","SourceAssets\ToonStyle\ImageGen\CharacterStyleLock_GuiltyGearNephilim\Sheets\lubu_male_nephilim_shorts_hifigear_shading_v01.png","1695136","04a780b71208f72af1c7cced1805fc9a90f602f4b44ba54e23111c9cd5eea751","Latest accepted male source. Shorts version with Hi-Fi Rush/Guilty Gear 2D-in-3D shading."
"char_lubu_female","Lu Bu Female","character","single_subject_png","model_ready","ModelReady\Characters\LuBu\Female\lubu_female_nephilim_hifigear_shading_v01.png","SourceAssets\ToonStyle\ImageGen\CharacterStyleLock_GuiltyGearNephilim\Sheets\lubu_female_nephilim_hifigear_shading_v01.png","1569326","000aaa0b28b8888add480e1764476fe199c6fa0f62238dd8af3696e377bb6f2b","Latest accepted female source. Hi-Fi Rush/Guilty Gear 2D-in-3D shading."
"enemy_stage1_boneconjurer","Bone Conjurer","enemy","single_subject_png","model_ready","ModelReady\Enemies\Stage1_Dungeon\boneconjurer_uncanny_house_v02.png","SourceAssets\ToonStyle\ImageGen\EnemyStyleLock_DungeonHorror\BoneConjurer\boneconjurer_uncanny_house_v02.png","1008469","15f3196e4ccace10fde48a2ee800f713537d8f90de312d322009ab399b147287","Curated latest Stage 1 dungeon enemy source."
"enemy_stage1_bonewalker","Bone Walker","enemy","single_subject_png","model_ready","ModelReady\Enemies\Stage1_Dungeon\bonewalker_uncanny_house_v01.png","SourceAssets\ToonStyle\ImageGen\EnemyStyleLock_DungeonHorror\BoneWalker\bonewalker_uncanny_house_v01.png","1142866","e0594991d87b42f7113c682f16e5ae254127660d46c0a341002f33d8bb71f200","Curated latest Stage 1 dungeon enemy source."
"enemy_stage1_cavebat","Cave Bat","enemy","single_subject_png","model_ready","ModelReady\Enemies\Stage1_Dungeon\cavebat_uncanny_house_v01.png","SourceAssets\ToonStyle\ImageGen\EnemyStyleLock_DungeonHorror\CaveBat\cavebat_uncanny_house_v01.png","1212694","d04d657228abfdcbf67e6fed9f7b76594901b5342d81f4fb0ad1d5f73e507772","Curated latest Stage 1 dungeon enemy source."
"enemy_stage1_cryptwraith","Crypt Wraith","enemy","single_subject_png","model_ready","ModelReady\Enemies\Stage1_Dungeon\cryptwraith_uncanny_house_v02.png","SourceAssets\ToonStyle\ImageGen\EnemyStyleLock_DungeonHorror\CryptWraith\cryptwraith_uncanny_house_v02.png","941184","669fbc546cad89bd3871e0261b69b19bd341e38d5c54228af806dcc46fa8327c","Curated latest Stage 1 dungeon enemy source."
"enemy_stage1_hexslinger","Hex Slinger","enemy","single_subject_png","model_ready","ModelReady\Enemies\Stage1_Dungeon\hexslinger_uncanny_house_v02.png","SourceAssets\ToonStyle\ImageGen\EnemyStyleLock_DungeonHorror\HexSlinger\hexslinger_uncanny_house_v02.png","896150","36d084e2d6fbde869b07ee775cd06dfe3b6c05b975652da9c177ada773c23231","Curated latest Stage 1 dungeon enemy source."
"enemy_stage1_mimiclure","Mimic Lure","enemy","single_subject_png","model_ready","ModelReady\Enemies\Stage1_Dungeon\mimiclure_uncanny_house_v01.png","SourceAssets\ToonStyle\ImageGen\EnemyStyleLock_DungeonHorror\MimicLure\mimiclure_uncanny_house_v01.png","1161270","e05f48bcad0dbd13b723c24b6e160330486771f458b5758977ebb7575c94aff1","Curated latest Stage 1 dungeon enemy source."
"enemy_stage1_ratpack","Rat Pack","enemy","single_subject_png","model_ready","ModelReady\Enemies\Stage1_Dungeon\ratpack_uncanny_house_v03.png","SourceAssets\ToonStyle\ImageGen\EnemyStyleLock_DungeonHorror\RatPack\ratpack_uncanny_house_v03.png","1268829","e7ba54d9f91293b0e45fd7b9bab0be48347fcae87f208903408bbdd50bbb139a","Curated latest Stage 1 dungeon enemy source."
"enemy_stage1_slime","Slime","enemy","single_subject_png","model_ready","ModelReady\Enemies\Stage1_Dungeon\slime_uncanny_house_v03.png","SourceAssets\ToonStyle\ImageGen\EnemyStyleLock_DungeonHorror\Slime\slime_uncanny_house_v03.png","877756","0fe85dfc8559bdfb4f99dc5d4fc8048126a7d6a3fd400d2cd9d9ebdd8acddb27","Curated latest Stage 1 dungeon enemy source."
