Date/Time,Word Count,en,ja
2025.10.08-22.35.45,405,405,0
2025.10.08-22.45.12,402,402,0
2025.10.08-22.52.10,351,351,0
2025.10.08-23.28.05,436,436,0
2025.10.08-23.32.07,435,435,0
2025.10.08-23.42.58,434,434,0
2025.10.09-00.50.14,435,435,0
2025.10.09-00.59.09,435,435,200
2025.10.09-02.37.03,451,451,435
2025.10.09-02.38.24,451,451,451
2025.10.09-18.26.25,451,451,447
2025.10.09-18.28.03,451,451,451
2025.10.21-22.05.09,549,549,451
2025.10.21-22.53.35,549,549,549
2025.10.22-21.52.48,549,549,545
2025.10.22-21.53.46,549,549,549
